Index	JobID	Memory MB
58	66791207	220.12
40	66791188	319.42
62	66791211	323.77
56	66791205	313.79
88	66791238	166.62
98	66791248	178.56
28	66791176	313.27
9	66791156	319.53
37	66791185	318.80
81	66791231	183.55
99	66791249	139.95
67	66791216	318.70
50	66791198	213.15
18	66791166	321.74
5	66791152	170.37
70	66791219	317.62
87	66791237	122.73
80	66791230	197.48
57	66791206	307.45
96	66791246	120.23
35	66791183	202.15
25	66791173	322.96
60	66791209	308.62
4	66791151	190.38
54	66791203	281.84
2	66791149	165.55
92	66791242	124.68
1	66791148	190.77
64	66791213	207.23
49	66791197	319.82
74	66791223	310.51
68	66791217	305.66
61	66791210	306.37
26	66791174	154.46
17	66791165	246.13
66	66791215	202.81
93	66791243	128.69
0	66791147	167.58
7	66791154	277.48
95	66791245	159.50
34	66791182	305.37
8	66791155	165.53
41	66791189	204.17
42	66791190	204.95
24	66791172	314.33
59	66791208	306.63
86	66791236	180.05
30	66791178	211.59
89	66791239	125.48
29	66791177	294.32
3	66791150	296.18
31	66791179	207.85
23	66791171	310.90
33	66791181	189.93
46	66791194	307.48
12	66791159	315.40
73	66791222	208.19
84	66791234	196.70
72	66791221	173.31
69	66791218	308.29
85	66791235	195.47
36	66791184	198.86
43	66791191	302.75
91	66791241	143.84
16	66791164	299.88
65	66791214	194.99
53	66791202	298.00
63	66791212	308.12
11	66791158	202.79
77	66791227	110.85
71	66791220	189.94
14	66791162	156.34
51	66791200	164.23
21	66791169	200.11
22	66791170	194.94
45	66791193	255.41
32	66791180	280.10
15	66791163	277.94
75	66791224	113.91
94	66791244	298.83
83	66791233	127.12
10	66791157	269.41
48	66791196	205.64
76	66791226	104.67
6	66791153	250.50
82	66791232	178.12
13	66791161	194.52
44	66791192	310.05
78	66791228	113.70
27	66791175	297.66
79	66791229	92.04
55	66791204	298.63
47	66791195	171.80
39	66791187	206.28
38	66791186	307.93
90	66791240	340.99
52	66791201	203.27
97	66791247	323.42
19	66791167	182.17
