Index	JobID	Runtime sec
20	66406233	12
11	66406222	20
26	66406239	32
7	66406218	39
19	66406232	31
28	66406241	32
17	66406230	32
27	66406240	33
8	66406219	37
23	66406236	32
1	66406211	39
6	66406216	39
9	66406220	41
22	66406235	32
0	66406210	40
5	66406215	39
14	66406226	32
21	66406234	33
10	66406221	38
12	66406223	32
24	66406237	33
13	66406225	33
2	66406212	38
4	66406214	41
3	66406213	41
25	66406238	33
18	66406231	34
15	66406227	34
90	66406312	9
50	66406266	10
64	66406283	10
39	66406254	9
16	66406228	35
70	66406289	9
30	66406245	10
81	66406301	10
44	66406260	11
58	66406275	11
73	66406292	10
38	66406253	11
82	66406303	11
32	66406247	10
52	66406268	12
78	66406298	12
75	66406295	13
45	66406261	13
61	66406279	13
49	66406265	13
36	66406251	13
63	66406281	14
29	66406244	13
77	66406297	13
71	66406290	13
55	66406272	13
57	66406274	13
35	66406250	13
94	66406317	14
34	66406249	14
97	66406321	15
86	66406307	14
33	66406248	14
47	66406263	14
56	66406273	14
51	66406267	14
99	66406323	14
46	66406262	14
93	66406316	16
48	66406264	15
85	66406306	15
53	66406270	14
95	66406318	15
89	66406311	13
76	66406296	15
43	66406259	16
40	66406255	15
31	66406246	15
79	66406299	15
80	66406300	15
91	66406313	16
41	66406256	15
69	66406288	16
98	66406322	15
54	66406271	16
65	66406284	15
92	66406314	16
84	66406305	15
59	66406276	16
88	66406310	15
66	66406285	16
83	66406304	16
37	66406252	16
74	66406293	17
67	66406286	16
60	66406278	16
87	66406309	18
62	66406280	18
72	66406291	17
96	66406319	23
