Index	JobID	FLRECO Runtime sec
37	66698694	3131
67	66698725	3168
54	66698711	3167
81	66698739	3237
47	66698704	3419
75	66698733	3350
86	66698744	3476
43	66698700	3585
80	66698738	3554
53	66698710	3681
69	66698727	3584
13	66698669	3816
91	66698749	3808
76	66698734	3863
21	66698677	3909
49	66698706	3936
74	66698732	3876
61	66698719	4035
45	66698702	4013
90	66698748	4031
25	66698681	3958
29	66698685	4116
35	66698692	3994
42	66698699	4015
27	66698683	4149
77	66698735	4176
87	66698745	4158
36	66698693	4161
68	66698726	4135
0	66698656	4148
11	66698667	4310
33	66698689	4331
82	66698740	4206
72	66698730	4192
34	66698691	4201
55	66698712	4168
56	66698714	4242
97	66698757	4240
44	66698701	4284
4	66698660	4299
7	66698663	4307
96	66698756	4528
57	66698715	4349
84	66698742	4357
3	66698659	4356
22	66698678	4385
52	66698709	4440
9	66698665	4299
5	66698661	4427
62	66698720	4423
28	66698684	4568
46	66698703	4399
58	66698716	4418
71	66698729	4424
20	66698676	4441
26	66698682	4445
85	66698743	4462
60	66698718	4487
39	66698696	4507
15	66698671	4518
41	66698698	4573
17	66698673	4555
14	66698670	4530
2	66698658	4541
1	66698657	4582
94	66698753	4594
23	66698679	4753
6	66698662	4653
64	66698722	4700
32	66698688	4579
48	66698705	4705
40	66698697	4697
24	66698680	4751
83	66698741	4734
66	66698724	4775
19	66698675	4781
50	66698707	4798
79	66698737	4751
38	66698695	4780
93	66698752	4677
51	66698708	4878
18	66698674	4820
30	66698686	4977
99	66698759	4884
88	66698746	4920
8	66698664	5017
78	66698736	4968
31	66698687	5040
65	66698723	4906
59	66698717	5064
63	66698721	5151
98	66698758	5040
70	66698728	5168
10	66698666	5349
89	66698747	5448
73	66698731	5648
16	66698672	5799
92	66698750	5783
95	66698754	5832
12	66698668	6257
