Index	JobID	FLSIMU Runtime sec
37	66698694	420
67	66698725	429
54	66698711	491
81	66698739	442
47	66698704	374
75	66698733	427
86	66698744	460
43	66698700	426
80	66698738	431
53	66698710	385
69	66698727	496
13	66698669	464
91	66698749	457
76	66698734	437
21	66698677	436
49	66698706	475
74	66698732	501
61	66698719	430
45	66698702	501
90	66698748	488
25	66698681	615
29	66698685	477
35	66698692	603
42	66698699	589
27	66698683	464
77	66698735	402
87	66698745	462
36	66698693	544
68	66698726	581
0	66698656	609
11	66698667	453
33	66698689	465
82	66698740	558
72	66698730	578
34	66698691	607
55	66698712	637
56	66698714	599
97	66698757	597
44	66698701	595
4	66698660	597
7	66698663	599
96	66698756	358
57	66698715	581
84	66698742	546
3	66698659	608
22	66698678	582
52	66698709	540
9	66698665	718
5	66698661	603
62	66698720	613
28	66698684	473
46	66698703	643
58	66698716	623
71	66698729	602
20	66698676	625
26	66698682	629
85	66698743	585
60	66698718	612
39	66698696	628
15	66698671	619
41	66698698	570
17	66698673	608
14	66698670	636
2	66698658	630
1	66698657	634
94	66698753	605
23	66698679	521
6	66698662	627
64	66698722	577
32	66698688	720
48	66698705	599
40	66698697	622
24	66698680	620
83	66698741	630
66	66698724	633
19	66698675	647
50	66698707	640
79	66698737	656
38	66698695	698
93	66698752	790
51	66698708	649
18	66698674	709
30	66698686	566
99	66698759	677
88	66698746	641
8	66698664	633
78	66698736	650
31	66698687	628
65	66698723	787
59	66698717	718
63	66698721	639
98	66698758	726
70	66698728	668
10	66698666	650
89	66698747	640
73	66698731	709
16	66698672	699
92	66698750	725
95	66698754	778
12	66698668	746
