Index	JobID	Memory_MB
0	66698656	525.75
1	66698657	545.89
2	66698658	543.16
3	66698659	710.10
4	66698660	511.67
5	66698661	506.32
6	66698662	508.73
7	66698663	598.11
8	66698664	604.12
9	66698665	507.33
10	66698666	506.11
11	66698667	481.52
12	66698668	483.57
13	66698669	525.00
14	66698670	530.27
15	66698671	515.57
16	66698672	543.27
17	66698673	501.94
18	66698674	601.79
19	66698675	529.41
20	66698676	526.16
21	66698677	520.86
22	66698678	526.94
23	66698679	590.00
24	66698680	604.85
25	66698681	511.29
26	66698682	495.59
27	66698683	481.97
28	66698684	484.48
29	66698685	491.45
30	66698686	504.35
31	66698687	505.69
32	66698688	506.16
33	66698689	518.45
34	66698690	NO_DATA
35	66698691	594.79
36	66698692	521.87
37	66698693	588.41
38	66698694	531.02
39	66698695	504.67
40	66698696	528.66
41	66698697	538.16
42	66698698	546.34
43	66698699	601.45
44	66698700	560.93
45	66698701	494.86
46	66698702	497.07
47	66698703	500.68
48	66698704	494.55
49	66698705	539.46
50	66698706	471.30
51	66698707	501.43
52	66698708	498.75
53	66698709	487.23
54	66698710	492.08
55	66698711	503.88
56	66698712	497.17
57	66698713	NO_DATA
58	66698714	520.82
59	66698715	488.69
60	66698716	502.30
61	66698717	512.54
62	66698718	536.29
63	66698719	564.83
64	66698720	524.67
65	66698721	498.12
66	66698722	504.11
67	66698723	500.80
68	66698724	553.43
69	66698725	498.58
70	66698726	549.03
71	66698727	503.13
72	66698728	558.39
73	66698729	535.87
74	66698730	514.65
75	66698731	506.32
76	66698732	535.04
77	66698733	498.89
78	66698734	508.45
79	66698735	494.50
80	66698736	495.58
81	66698737	521.05
82	66698738	507.86
83	66698739	527.88
84	66698740	518.26
85	66698741	559.05
86	66698742	504.60
87	66698743	561.89
88	66698744	712.38
89	66698745	500.02
90	66698746	519.79
91	66698747	528.61
92	66698748	495.32
93	66698749	486.87
94	66698750	500.85
95	66698751	NO_DATA
96	66698752	518.26
97	66698753	500.57
98	66698754	513.30
99	66698755	NO_DATA
100	66698756	493.39
101	66698757	535.35
102	66698758	514.85
103	66698759	537.10
