Index	JobID	FLRECO Runtime sec
19	66699014	6345
77	66699086	6265
22	66699018	6702
0	66698992	6696
8	66699001	6769
36	66699034	7041
20	66699015	7187
59	66699062	7164
1	66698993	7111
78	66699088	7517
30	66699027	7284
91	66699105	7347
92	66699106	6986
83	66699094	7341
48	66699049	7469
56	66699059	7646
65	66699069	7546
97	66699112	7622
76	66699084	7791
81	66699091	7696
67	66699072	7793
62	66699066	7889
44	66699045	7395
9	66699002	8251
46	66699047	7779
42	66699042	8141
96	66699111	8041
15	66699009	7992
55	66699058	8334
31	66699028	8202
32	66699030	8227
5	66698998	8284
11	66699005	8221
18	66699013	8409
74	66699082	8467
47	66699048	8480
13	66699007	8676
17	66699012	8391
21	66699016	9131
39	66699038	8260
3	66698995	8537
71	66699077	8588
80	66699090	8551
12	66699006	8960
94	66699109	8390
86	66699098	8682
6	66698999	8791
7	66699000	8862
70	66699076	8632
69	66699074	8819
41	66699041	8633
79	66699089	9256
23	66699019	9025
40	66699040	9157
35	66699033	9116
72	66699080	8969
49	66699051	9018
82	66699092	8983
16	66699010	9124
2	66698994	9089
73	66699081	9050
45	66699046	9112
43	66699044	9123
84	66699096	9229
68	66699073	9114
85	66699097	9128
75	66699083	9262
88	66699100	9132
33	66699031	9154
66	66699070	9517
93	66699107	9217
25	66699021	9362
58	66699061	9431
95	66699110	9439
37	66699035	9397
28	66699025	9561
10	66699003	9578
38	66699037	9577
60	66699063	9583
34	66699032	9702
87	66699099	9626
50	66699052	9742
4	66698996	9800
54	66699056	9896
99	66699117	9969
61	66699065	10025
51	66699053	10120
90	66699103	9995
24	66699020	10053
52	66699054	10201
14	66699008	9900
64	66699068	10582
29	66699026	10639
26	66699022	10667
89	66699102	10776
63	66699067	10756
53	66699055	10841
98	66699114	10819
27	66699023	11104
57	66699060	11526
