Index	JobID	Memory_MB
0	65368124	496.14
1	65368125	519.04
2	65368126	519.03
3	65368127	494.21
4	65368128	524.33
5	65368129	508.03
6	65368130	551.59
7	65368131	511.25
8	65368132	487.37
9	65368133	520.75
11	65368135	489.97
12	65368136	512.23
13	65368137	487.67
14	65368138	486.11
15	65368139	490.74
16	65368140	620.79
17	65368141	491.68
18	65368142	487.92
19	65368143	621.29
20	65368144	506.12
21	65368145	524.09
22	65368146	493.06
23	65368147	498.13
24	65368148	509.23
25	65368149	495.61
26	65368150	505.62
27	65368151	501.73
28	65368152	483.06
29	65368153	628.24
30	65368154	484.83
31	65368155	482.16
32	65368156	533.60
33	65368157	496.03
34	65368158	488.59
35	65368159	488.88
37	65368161	488.29
38	65368162	507.27
39	65368163	499.98
40	65368164	491.87
41	65368165	516.24
42	65368166	485.08
43	65368167	645.04
44	65368168	479.32
45	65368169	514.08
46	65368170	517.55
47	65368171	486.74
48	65368172	489.29
49	65368173	525.19
50	65368174	514.74
51	65368175	498.29
52	65368176	511.91
53	65368177	494.90
54	65368178	538.55
55	65368179	485.14
56	65368180	505.62
57	65368181	490.20
58	65368182	494.52
59	65368183	484.81
60	65368184	489.06
61	65368185	496.87
62	65368186	488.12
64	65368188	524.18
65	65368189	497.76
66	65368190	550.97
68	65368192	479.47
69	65368193	482.29
70	65368194	499.02
71	65368195	501.74
72	65368196	530.27
74	65368198	506.67
75	65368199	511.19
76	65368200	490.86
77	65368201	509.09
78	65368202	484.77
79	65368203	502.36
80	65368204	623.41
81	65368205	524.43
82	65368206	482.02
83	65368207	627.79
84	65368208	507.61
85	65368209	507.60
86	65368210	515.73
87	65368211	486.77
88	65368212	512.33
89	65368213	533.93
90	65368214	620.16
91	65368215	529.75
93	65368217	621.58
94	65368218	483.57
95	65368219	545.04
96	65368220	486.67
97	65368221	485.77
98	65368222	498.70
99	65368223	510.96
100	65368224	622.20
101	65368225	520.93
102	65368226	508.58
103	65368227	701.77
104	65368228	524.64
105	65368229	698.90
