Index	JobID	Memory MB
5	66182111	193.49
4	66182110	176.60
27	66182134	149.73
15	66182121	146.01
1	66182107	186.92
0	66182106	177.22
30	66182137	165.73
20	66182127	160.96
2	66182108	181.92
32	66182139	178.36
3	66182109	147.22
33	66182140	195.70
74	66182182	144.28
68	66182176	139.69
61	66182169	150.29
9	66182115	155.02
10	66182116	163.65
64	66182172	137.23
87	66182195	145.36
59	66182167	145.89
7	66182113	218.47
19	66182126	172.67
76	66182184	138.44
71	66182179	141.59
26	66182133	184.04
13	66182119	178.83
99	66182207	183.18
82	66182190	157.60
34	66182141	256.40
41	66182148	167.34
31	66182138	177.73
22	66182129	163.13
48	66182155	161.53
47	66182154	163.51
36	66182143	152.38
43	66182150	184.08
49	66182156	189.14
46	66182153	217.51
52	66182159	185.59
24	66182131	194.51
44	66182151	256.31
56	66182164	197.44
58	66182166	198.54
40	66182147	197.60
57	66182165	196.49
54	66182162	188.97
39	66182146	175.62
16	66182123	177.81
37	66182144	195.83
53	66182160	182.17
35	66182142	158.47
97	66182205	158.85
23	66182130	200.71
29	66182136	166.66
25	66182132	169.99
14	66182120	182.66
42	66182149	186.19
66	66182174	167.16
94	66182202	193.16
96	66182204	196.16
73	66182181	158.26
95	66182203	182.78
18	66182125	209.37
55	66182163	177.56
11	66182117	210.27
91	66182199	209.39
12	66182118	205.01
45	66182152	183.04
63	66182171	165.37
93	66182201	206.16
70	66182178	175.52
86	66182194	174.46
81	66182189	194.58
67	66182175	169.58
75	66182183	183.98
83	66182191	159.30
98	66182206	204.94
92	66182200	207.23
6	66182112	244.65
69	66182177	161.18
72	66182180	161.12
50	66182157	279.03
65	66182173	191.34
62	66182170	200.59
79	66182187	205.94
85	66182193	208.28
51	66182158	350.95
77	66182185	180.70
88	66182196	207.33
60	66182168	347.49
38	66182145	189.71
8	66182114	344.39
90	66182198	363.05
89	66182197	209.38
21	66182128	209.36
17	66182124	260.20
28	66182135	244.54
84	66182192	238.07
78	66182186	252.94
