Index	JobID	Runtime sec
5	66182111	66
4	66182110	76
27	66182134	70
15	66182121	73
1	66182107	97
0	66182106	96
30	66182137	80
20	66182127	81
2	66182108	102
32	66182139	85
3	66182109	107
33	66182140	91
74	66182182	75
68	66182176	76
61	66182169	77
9	66182115	96
10	66182116	97
64	66182172	82
87	66182195	84
59	66182167	89
7	66182113	128
19	66182126	107
76	66182184	95
71	66182179	96
26	66182133	117
13	66182119	115
99	66182207	97
82	66182190	100
34	66182141	118
41	66182148	124
31	66182138	117
22	66182129	123
48	66182155	128
47	66182154	131
36	66182143	130
43	66182150	131
49	66182156	131
46	66182153	132
52	66182159	134
24	66182131	133
44	66182151	135
56	66182164	132
58	66182166	135
40	66182147	135
57	66182165	132
54	66182162	136
39	66182146	132
16	66182123	134
37	66182144	136
53	66182160	136
35	66182142	139
97	66182205	118
23	66182130	141
29	66182136	143
25	66182132	140
14	66182120	144
42	66182149	143
66	66182174	130
94	66182202	127
96	66182204	131
73	66182181	140
95	66182203	142
18	66182125	159
55	66182163	158
11	66182117	163
91	66182199	149
12	66182118	166
45	66182152	155
63	66182171	159
93	66182201	150
70	66182178	165
86	66182194	165
81	66182189	168
67	66182175	168
75	66182183	171
83	66182191	176
98	66182206	176
92	66182200	190
6	66182112	236
69	66182177	198
72	66182180	201
50	66182157	224
65	66182173	203
62	66182170	206
79	66182187	209
85	66182193	210
51	66182158	234
77	66182185	213
88	66182196	217
60	66182168	219
38	66182145	233
8	66182114	261
90	66182198	220
89	66182197	215
21	66182128	239
17	66182124	248
28	66182135	249
84	66182192	248
78	66182186	250
