Index	JobID	Runtime sec
67	66699348	8631
56	66699332	8963
8	66699227	9565
10	66699231	10739
7	66699225	10806
91	66699393	11234
2	66699213	11298
65	66699345	11569
53	66699328	11583
64	66699342	11816
22	66699261	11920
48	66699321	11982
19	66699253	12162
84	66699376	12347
50	66699324	12378
14	66699240	12916
51	66699326	13017
9	66699229	13100
98	66699409	13105
46	66699312	13145
78	66699361	13210
85	66699379	13366
88	66699387	13407
32	66699286	13520
5	66699219	13559
47	66699317	13660
69	66699350	13674
61	66699338	13812
28	66699278	13842
45	66699308	14025
55	66699330	14049
82	66699370	14051
68	66699349	14083
66	66699347	14154
38	66699296	14270
70	66699351	14292
27	66699276	14297
17	66699248	14314
12	66699235	14365
33	66699287	14376
52	66699327	14482
16	66699246	14511
20	66699256	14573
71	66699352	14643
92	66699396	14633
54	66699329	14677
81	66699367	14697
13	66699237	14711
0	66699208	14966
76	66699358	15020
36	66699292	15256
24	66699269	15315
41	66699301	15332
62	66699339	15354
49	66699322	15482
74	66699356	15582
1	66699211	15629
31	66699284	15669
34	66699289	15669
95	66699402	15661
44	66699305	15707
57	66699333	15750
6	66699221	15807
73	66699355	15819
86	66699383	15844
93	66699398	15913
60	66699336	15977
90	66699391	16021
97	66699406	16027
80	66699365	16144
23	66699266	16249
3	66699215	16286
94	66699400	16237
79	66699363	16313
96	66699404	16295
43	66699304	16354
15	66699242	16383
75	66699357	16374
18	66699250	16415
89	66699389	16407
29	66699280	16462
37	66699294	16505
25	66699270	16522
40	66699300	16627
59	66699335	16626
58	66699334	16664
72	66699354	16682
35	66699291	16956
83	66699373	17059
87	66699385	17070
39	66699298	17120
99	66699411	17386
11	66699233	17488
42	66699302	17889
21	66699258	17889
4	66699217	17975
77	66699360	18023
30	66699283	18946
63	66699340	18970
26	66699272	19242
