Index	JobID	Memory MB
66	66182072	146.04
27	66182033	150.64
12	66182018	149.34
67	66182073	223.85
42	66182048	162.44
5	66182011	158.65
92	66182098	163.38
50	66182056	189.39
93	66182099	186.70
24	66182030	189.36
43	66182049	173.71
10	66182016	168.39
68	66182074	200.40
28	66182034	169.42
46	66182052	174.86
94	66182100	208.40
11	66182017	151.59
64	66182070	166.82
73	66182079	336.14
1	66182007	167.59
65	66182071	164.08
47	66182053	152.72
20	66182026	195.13
2	66182008	258.38
86	66182092	197.32
75	66182081	199.30
41	66182047	196.49
33	66182039	173.30
61	66182067	221.34
13	66182019	161.13
91	66182097	202.57
90	66182096	206.52
59	66182065	169.38
76	66182082	176.16
70	66182076	166.44
88	66182094	172.53
84	66182090	179.30
99	66182105	169.74
51	66182057	176.73
87	66182093	207.30
55	66182061	191.48
38	66182044	198.10
77	66182083	180.08
37	66182043	178.09
60	66182066	186.83
34	66182040	191.71
71	66182077	163.62
17	66182023	220.49
30	66182036	163.32
49	66182055	170.71
54	66182060	197.88
82	66182088	250.88
32	66182038	179.68
40	66182046	183.05
23	66182029	195.48
39	66182045	180.16
8	66182014	175.43
79	66182085	198.19
58	66182064	279.86
35	66182041	204.36
57	66182063	184.13
78	66182084	175.94
81	66182087	199.48
18	66182024	202.64
52	66182058	171.90
14	66182020	159.36
36	66182042	181.86
97	66182103	217.55
63	66182069	159.13
62	66182068	174.45
9	66182015	189.13
19	66182025	213.80
74	66182080	184.12
6	66182012	159.93
22	66182028	213.77
29	66182035	185.86
16	66182022	232.23
69	66182075	188.52
26	66182032	166.83
96	66182102	184.94
98	66182104	186.75
44	66182050	184.29
25	66182031	183.90
56	66182062	225.21
85	66182091	206.00
89	66182095	190.95
3	66182009	174.69
95	66182101	356.41
15	66182021	204.56
7	66182013	180.65
0	66182006	188.70
48	66182054	177.48
80	66182086	259.29
53	66182059	255.89
72	66182078	259.77
31	66182037	250.88
