Index	JobID	FLSIMU Runtime sec
58	66699456	162
45	66699441	151
37	66699429	210
6	66699375	210
13	66699392	200
46	66699442	171
24	66699414	188
56	66699454	231
42	66699435	216
86	66699492	216
79	66699484	216
16	66699399	249
62	66699461	220
9	66699384	301
11	66699388	295
82	66699487	219
78	66699483	246
87	66699493	243
83	66699488	235
4	66699371	143
94	66699501	191
92	66699499	152
39	66699432	308
52	66699449	229
59	66699457	245
44	66699439	236
10	66699386	291
25	66699415	209
69	66699469	358
60	66699458	236
71	66699471	220
63	66699462	238
0	66699362	258
14	66699394	229
3	66699368	255
64	66699463	291
30	66699421	232
61	66699459	247
28	66699419	242
35	66699427	272
8	66699380	305
17	66699401	312
15	66699397	308
43	66699437	291
20	66699407	302
18	66699403	314
1	66699364	311
68	66699467	311
84	66699490	296
38	66699431	306
98	66699506	295
54	66699451	301
48	66699444	316
33	66699425	295
96	66699504	304
7	66699378	306
32	66699423	316
47	66699443	271
41	66699434	314
57	66699455	286
40	66699433	317
12	66699390	341
36	66699428	315
23	66699413	317
65	66699464	321
81	66699486	316
49	66699445	271
50	66699447	356
77	66699481	322
2	66699366	320
80	66699485	316
53	66699450	301
74	66699478	318
95	66699502	327
21	66699410	312
85	66699491	314
88	66699494	323
55	66699452	309
76	66699480	354
51	66699448	310
70	66699470	308
72	66699473	308
66	66699465	306
26	66699416	327
67	66699466	328
22	66699412	341
90	66699497	297
89	66699495	312
91	66699498	332
5	66699374	303
31	66699422	332
93	66699500	341
27	66699418	328
34	66699426	351
29	66699420	373
19	66699405	366
73	66699475	341
97	66699505	333
75	66699479	340
99	66699507	398
