Index	JobID	FLRECO Runtime sec
6	66752456	10
9	66752460	10
5	66752455	11
8	66752459	12
3	66752453	13
41	66752751	10
2	66752451	13
21	66752541	10
1	66752450	14
43	66752753	12
13	66752465	15
39	66752743	12
0	66752449	14
14	66752466	16
7	66752457	16
12	66752463	16
22	66752554	12
28	66752617	12
35	66752704	12
36	66752708	16
11	66752462	20
20	66752528	15
38	66752734	15
29	66752631	16
24	66752573	16
18	66752500	16
27	66752607	17
10	66752461	21
32	66752665	17
31	66752652	17
40	66752749	14
34	66752690	16
16	66752475	15
25	66752583	16
33	66752677	18
37	66752721	18
30	66752640	17
17	66752488	18
42	66752752	17
19	66752513	18
23	66752563	17
26	66752596	18
4	66752454	25
15	66752469	19
75	66753024	9
80	66753047	10
50	66752761	9
85	66753053	10
63	66752895	10
64	66752907	12
68	66752954	12
76	66753035	11
81	66753048	14
61	66752867	14
62	66752881	11
79	66753044	12
99	66753090	12
53	66752783	12
82	66753049	13
47	66752758	14
59	66752851	15
91	66753060	14
87	66753055	14
72	66752994	15
54	66752797	16
65	66752919	14
83	66753050	14
57	66752831	14
78	66753043	15
52	66752769	15
58	66752844	16
94	66753063	14
56	66752817	15
48	66752759	16
49	66752760	16
44	66752755	13
86	66753054	14
89	66753058	15
73	66753007	16
97	66753069	17
60	66752857	15
46	66752757	16
84	66753052	16
98	66753082	16
71	66752982	16
92	66753061	17
88	66753056	17
66	66752933	19
96	66753065	17
95	66753064	17
93	66753062	18
74	66753015	19
70	66752970	20
45	66752756	17
55	66752810	19
51	66752762	21
90	66753059	18
77	66753042	24
69	66752958	24
67	66752942	23
