Index	JobID	FLSIMU Runtime sec
72	66599387	83
70	66599385	89
71	66599386	94
39	66599345	106
62	66599375	101
13	66599314	114
25	66599329	109
17	66599319	116
66	66599380	104
52	66599364	115
23	66599326	115
36	66599342	127
58	66599370	116
69	66599384	119
35	66599341	117
4	66599302	120
53	66599365	118
22	66599325	116
14	66599316	125
8	66599307	122
16	66599318	121
97	66599419	115
55	66599367	136
34	66599340	118
48	66599358	123
56	66599368	124
68	66599382	139
61	66599374	132
28	66599332	134
67	66599381	131
9	66599308	139
43	66599352	149
60	66599373	140
88	66599408	144
33	66599339	172
38	66599344	140
40	66599349	156
15	66599317	168
59	66599372	158
1	66599298	171
47	66599356	138
27	66599331	156
12	66599312	150
49	66599359	167
83	66599400	162
26	66599330	158
51	66599362	160
65	66599379	157
10	66599309	159
11	66599311	166
2	66599300	160
41	66599350	166
29	66599333	167
42	66599351	165
87	66599407	161
89	66599409	153
31	66599336	185
79	66599395	164
18	66599320	170
99	66599421	167
57	66599369	163
81	66599398	164
80	66599397	155
19	66599322	173
6	66599304	168
95	66599417	159
0	66599297	172
5	66599303	160
37	66599343	163
76	66599391	167
84	66599403	162
90	66599410	168
91	66599412	166
20	66599323	165
21	66599324	183
75	66599390	177
98	66599420	167
96	66599418	168
54	66599366	168
92	66599413	165
78	66599394	165
93	66599414	167
7	66599306	185
32	66599338	172
50	66599360	167
24	66599328	177
45	66599354	171
46	66599355	170
74	66599389	168
73	66599388	165
77	66599393	171
44	66599353	166
82	66599399	167
64	66599378	136
85	66599405	167
30	66599334	169
86	66599406	196
3	66599301	189
94	66599416	187
63	66599376	198
