Index	JobID	Memory MB
72	66599387	396.95
70	66599385	404.92
71	66599386	504.81
39	66599345	395.53
62	66599375	400.76
13	66599314	331.79
25	66599329	326.53
17	66599319	402.13
66	66599380	504.63
52	66599364	400.48
23	66599326	334.12
36	66599342	500.44
58	66599370	391.69
69	66599384	507.27
35	66599341	392.48
4	66599302	357.51
53	66599365	406.50
22	66599325	339.82
14	66599316	417.02
8	66599307	397.33
16	66599318	374.60
97	66599419	345.06
55	66599367	398.71
34	66599340	361.77
48	66599358	359.04
56	66599368	325.18
68	66599382	400.78
61	66599374	409.00
28	66599332	332.04
67	66599381	396.74
9	66599308	337.13
43	66599352	379.97
60	66599373	341.79
88	66599408	361.25
33	66599339	517.78
38	66599344	342.07
40	66599349	325.26
15	66599317	355.50
59	66599372	359.00
1	66599298	506.83
47	66599356	424.64
27	66599331	363.16
12	66599312	347.23
49	66599359	357.73
83	66599400	337.37
26	66599330	337.82
51	66599362	506.00
65	66599379	361.32
10	66599309	355.54
11	66599311	374.75
2	66599300	325.68
41	66599350	354.83
29	66599333	392.58
42	66599351	389.05
87	66599407	395.99
89	66599409	394.91
31	66599336	342.70
79	66599395	394.35
18	66599320	345.41
99	66599421	419.03
57	66599369	399.49
81	66599398	507.90
80	66599397	374.27
19	66599322	324.25
6	66599304	336.35
95	66599417	354.36
0	66599297	338.51
5	66599303	376.28
37	66599343	344.88
76	66599391	359.50
84	66599403	399.30
90	66599410	365.43
91	66599412	351.38
20	66599323	353.92
21	66599324	514.36
75	66599390	394.13
98	66599420	358.41
96	66599418	509.80
54	66599366	395.13
92	66599413	359.38
78	66599394	338.97
93	66599414	466.91
7	66599306	329.37
32	66599338	359.30
50	66599360	337.62
24	66599328	502.65
45	66599354	420.96
46	66599355	412.12
74	66599389	503.92
73	66599388	321.97
77	66599393	403.76
44	66599353	355.70
82	66599399	325.89
64	66599378	372.58
85	66599405	354.46
30	66599334	334.23
86	66599406	399.70
3	66599301	345.84
94	66599416	360.77
63	66599376	400.20
