Index	JobID	Runtime sec
59	66595450	10952
37	66595423	11445
77	66595470	11550
60	66595451	11555
29	66595414	11633
97	66595499	11640
93	66595493	12315
75	66595468	12718
18	66595401	12817
6	66595387	12997
5	66595386	12999
70	66595463	13491
82	66595478	13626
74	66595467	13669
64	66595455	13749
63	66595454	14090
39	66595426	14437
71	66595464	14482
95	66595497	14543
17	66595400	14648
54	66595443	14694
24	66595408	14714
3	66595383	14728
66	66595457	14743
98	66595500	14765
19	66595403	14997
51	66595440	15049
8	66595390	15125
45	66595433	15162
85	66595482	15166
79	66595474	15233
68	66595460	15264
89	66595487	15361
47	66595435	15487
52	66595441	15544
11	66595393	15571
35	66595421	15635
32	66595418	15658
78	66595472	15665
13	66595395	15671
86	66595483	15725
55	66595445	15764
84	66595481	15847
65	66595456	15855
67	66595458	15886
2	66595382	15892
7	66595389	15896
76	66595469	15908
56	66595446	15953
15	66595397	15975
83	66595480	16019
42	66595429	16054
69	66595461	16143
25	66595409	16147
26	66595410	16169
20	66595404	16262
50	66595439	16283
33	66595419	16318
88	66595486	16333
41	66595428	16358
44	66595432	16378
43	66595431	16438
14	66595396	16440
62	66595453	16466
10	66595392	16480
90	66595488	16483
34	66595420	16523
36	66595422	16557
48	66595436	16573
46	66595434	16573
73	66595466	16595
12	66595394	16614
96	66595498	16633
27	66595412	16677
99	66595501	16725
28	66595413	16871
22	66595406	16883
38	66595425	16968
31	66595416	16974
61	66595452	17057
53	66595442	17122
49	66595438	17207
58	66595448	17216
72	66595465	17257
91	66595490	17278
1	66595381	17299
80	66595475	17322
57	66595447	17392
0	66595380	17424
94	66595494	17637
40	66595427	17685
16	66595399	17831
87	66595485	17856
81	66595476	17906
9	66595391	17964
92	66595491	17999
30	66595415	18038
23	66595407	18152
4	66595384	18199
21	66595405	18353
