Index	JobID	FLRECO Runtime sec
68	66597342	24613
73	66597348	25893
41	66597310	27804
54	66597325	27889
42	66597311	28851
70	66597344	30113
80	66597356	30398
67	66597340	30608
74	66597349	30951
57	66597329	30186
43	66597312	31801
9	66597272	31650
94	66597372	33489
5	66597267	33435
32	66597298	33817
71	66597345	33609
76	66597351	33126
98	66597377	34157
61	66597334	33823
81	66597357	34440
77	66597352	34649
69	66597343	34201
84	66597360	34337
75	66597350	33730
39	66597308	33914
88	66597365	35098
33	66597300	34192
21	66597286	34427
99	66597378	33873
87	66597364	34747
93	66597371	36007
72	66597346	36307
91	66597369	36036
38	66597307	36363
18	66597282	35964
11	66597274	36981
27	66597293	36761
22	66597287	36887
52	66597323	36683
3	66597265	36779
49	66597320	36645
64	66597337	37158
35	66597304	36936
66	66597339	38098
30	66597296	37709
26	66597292	37277
23	66597288	37873
28	66597294	37725
58	66597330	38161
17	66597281	39013
16	66597280	39571
40	66597309	38639
37	66597306	38712
45	66597315	39003
0	66597261	39571
24	66597289	38833
46	66597317	38919
63	66597336	40086
25	66597291	39332
82	66597358	38693
89	66597367	39548
44	66597313	40070
47	66597318	40114
59	66597331	39926
79	66597355	39704
36	66597305	39733
12	66597275	39970
10	66597273	39839
13	66597277	40189
14	66597278	40238
31	66597297	40302
90	66597368	40349
92	66597370	40382
50	66597321	40438
8	66597271	40463
95	66597373	40601
85	66597361	40736
6	66597268	40776
19	66597283	40719
51	66597322	40669
97	66597375	40944
55	66597326	41265
20	66597285	41802
15	66597279	41280
48	66597319	41654
53	66597324	42067
78	66597353	41946
7	66597270	41887
65	66597338	42703
1	66597262	42910
60	66597332	43091
29	66597295	43283
4	66597266	43324
86	66597363	43903
2	66597264	44144
83	66597359	45189
34	66597301	44910
62	66597335	45259
96	66597374	45283
56	66597327	45290
