Index	JobID	FLSIMU Runtime sec
68	66597342	2013
73	66597348	2568
41	66597310	2786
54	66597325	2816
42	66597311	2841
70	66597344	3222
80	66597356	2933
67	66597340	3133
74	66597349	3072
57	66597329	3895
43	66597312	3187
9	66597272	3932
94	66597372	2505
5	66597267	3170
32	66597298	2883
71	66597345	3208
76	66597351	3831
98	66597377	2852
61	66597334	3351
81	66597357	2821
77	66597352	2861
69	66597343	3333
84	66597360	3253
75	66597350	3900
39	66597308	3827
88	66597365	3095
33	66597300	4246
21	66597286	4063
99	66597378	4611
87	66597364	3966
93	66597371	3010
72	66597346	3274
91	66597369	3893
38	66597307	3631
18	66597282	4224
11	66597274	3294
27	66597293	3708
22	66597287	3679
52	66597323	3883
3	66597265	3964
49	66597320	4123
64	66597337	3614
35	66597304	3974
66	66597339	3104
30	66597296	3650
26	66597292	4092
23	66597288	3784
28	66597294	4021
58	66597330	3746
17	66597281	3030
16	66597280	2988
40	66597309	3960
37	66597306	3988
45	66597315	3816
0	66597261	3398
24	66597289	4203
46	66597317	4090
63	66597336	3123
25	66597291	4051
82	66597358	4739
89	66597367	3938
44	66597313	3646
47	66597318	3713
59	66597331	3901
79	66597355	4116
36	66597305	4215
12	66597275	4071
10	66597273	4239
13	66597277	4149
14	66597278	4185
31	66597297	4143
90	66597368	4041
92	66597370	4130
50	66597321	4171
8	66597271	4272
95	66597373	4086
85	66597361	4088
6	66597268	4146
19	66597283	4205
51	66597322	4227
97	66597375	4144
55	66597326	3877
20	66597285	3372
15	66597279	4195
48	66597319	4141
53	66597324	3745
78	66597353	3921
7	66597270	4048
65	66597338	4034
1	66597262	4199
60	66597332	4127
29	66597295	4197
4	66597266	4467
86	66597363	4213
2	66597264	4119
83	66597359	3234
34	66597301	4154
62	66597335	4208
96	66597374	4291
56	66597327	4350
