Index	JobID	Runtime sec
68	66597342	26626
73	66597348	28461
41	66597310	30590
54	66597325	30705
42	66597311	31692
70	66597344	33335
80	66597356	33331
67	66597340	33741
74	66597349	34023
57	66597329	34081
43	66597312	34988
9	66597272	35582
94	66597372	35994
5	66597267	36605
32	66597298	36700
71	66597345	36817
76	66597351	36957
98	66597377	37009
61	66597334	37174
81	66597357	37261
77	66597352	37510
69	66597343	37534
84	66597360	37590
75	66597350	37630
39	66597308	37741
88	66597365	38193
33	66597300	38438
21	66597286	38490
99	66597378	38484
87	66597364	38713
93	66597371	39017
72	66597346	39581
91	66597369	39929
38	66597307	39994
18	66597282	40188
11	66597274	40275
27	66597293	40469
22	66597287	40566
52	66597323	40566
3	66597265	40743
49	66597320	40768
64	66597337	40772
35	66597304	40910
66	66597339	41202
30	66597296	41359
26	66597292	41369
23	66597288	41657
28	66597294	41746
58	66597330	41907
17	66597281	42043
16	66597280	42559
40	66597309	42599
37	66597306	42700
45	66597315	42819
0	66597261	42969
24	66597289	43036
46	66597317	43009
63	66597336	43209
25	66597291	43383
82	66597358	43432
89	66597367	43486
44	66597313	43716
47	66597318	43827
59	66597331	43827
79	66597355	43820
36	66597305	43948
12	66597275	44041
10	66597273	44078
13	66597277	44338
14	66597278	44423
31	66597297	44445
90	66597368	44390
92	66597370	44512
50	66597321	44609
8	66597271	44735
95	66597373	44687
85	66597361	44824
6	66597268	44922
19	66597283	44924
51	66597322	44896
97	66597375	45088
55	66597326	45142
20	66597285	45174
15	66597279	45475
48	66597319	45795
53	66597324	45812
78	66597353	45867
7	66597270	45935
65	66597338	46737
1	66597262	47109
60	66597332	47218
29	66597295	47480
4	66597266	47791
86	66597363	48116
2	66597264	48263
83	66597359	48423
34	66597301	49064
62	66597335	49467
96	66597374	49574
56	66597327	49640
