Index	JobID	Memory MB
79	65145305	433.30
42	65145268	505.83
98	65145325	410.10
65	65145291	394.26
49	65145275	502.48
90	65145316	392.15
82	65145308	499.61
71	65145297	499.31
95	65145322	380.43
93	65145320	500.29
62	65145288	505.77
0	65145208	502.02
36	65145245	503.39
86	65145312	392.96
61	65145287	374.85
70	65145296	355.62
56	65145282	508.60
51	65145277	397.71
81	65145307	389.88
77	65145303	357.11
87	65145313	405.18
55	65145281	406.64
96	65145323	503.82
80	65145306	500.70
67	65145293	500.65
92	65145318	401.36
66	65145292	502.57
85	65145311	382.93
59	65145285	396.23
33	65145242	506.00
74	65145300	509.47
84	65145310	402.74
50	65145276	379.79
48	65145274	500.18
53	65145279	499.58
68	65145294	409.65
45	65145271	387.27
75	65145301	499.86
60	65145286	517.05
3	65145211	502.96
26	65145235	369.96
38	65145248	509.03
58	65145284	504.17
16	65145225	499.75
14	65145222	505.79
21	65145230	520.49
13	65145221	509.41
23	65145232	498.67
31	65145240	505.73
54	65145280	512.42
76	65145302	500.67
39	65145249	509.97
9	65145217	511.05
44	65145270	501.77
10	65145218	477.75
11	65145219	500.93
37	65145247	499.58
1	65145209	497.34
34	65145243	504.21
64	65145290	508.55
29	65145238	506.37
22	65145231	503.36
2	65145210	492.52
4	65145212	507.35
99	65145326	519.79
12	65145220	501.13
73	65145299	506.11
41	65145259	498.08
32	65145241	499.91
28	65145237	479.54
35	65145244	503.48
47	65145273	502.90
8	65145216	500.08
89	65145315	502.20
72	65145298	501.76
46	65145272	499.90
97	65145324	393.01
88	65145314	391.49
63	65145289	397.49
91	65145317	388.32
78	65145304	396.87
6	65145214	506.24
18	65145227	510.33
7	65145215	502.32
57	65145283	410.02
83	65145309	500.19
52	65145278	520.51
24	65145233	500.09
25	65145234	499.77
19	65145228	482.69
40	65145250	500.26
15	65145223	503.82
20	65145229	498.81
43	65145269	502.94
69	65145295	504.71
94	65145321	508.59
17	65145226	501.77
30	65145239	509.19
27	65145236	489.00
