Index	JobID	Runtime sec
79	65145305	203
42	65145268	239
98	65145325	265
65	65145291	284
49	65145275	288
90	65145316	291
82	65145308	293
71	65145297	293
95	65145322	292
93	65145320	290
62	65145288	299
0	65145208	304
36	65145245	303
86	65145312	307
61	65145287	322
70	65145296	322
56	65145282	322
51	65145277	322
81	65145307	323
77	65145303	322
87	65145313	328
55	65145281	315
96	65145323	330
80	65145306	318
67	65145293	338
92	65145318	353
66	65145292	356
85	65145311	352
59	65145285	359
33	65145242	367
74	65145300	366
84	65145310	359
50	65145276	360
48	65145274	369
53	65145279	367
68	65145294	364
45	65145271	386
75	65145301	386
60	65145286	387
3	65145211	410
26	65145235	386
38	65145248	397
58	65145284	386
16	65145225	400
14	65145222	402
21	65145230	403
13	65145221	402
23	65145232	406
31	65145240	405
54	65145280	406
76	65145302	406
39	65145249	413
9	65145217	416
44	65145270	416
10	65145218	421
11	65145219	424
37	65145247	423
1	65145209	425
34	65145243	424
64	65145290	431
29	65145238	432
22	65145231	431
2	65145210	465
4	65145212	436
99	65145326	432
12	65145220	450
73	65145299	450
41	65145259	454
32	65145241	458
28	65145237	458
35	65145244	481
47	65145273	553
8	65145216	607
89	65145315	627
72	65145298	658
46	65145272	260
97	65145324	686
88	65145314	689
63	65145289	706
91	65145317	699
78	65145304	711
6	65145214	720
18	65145227	732
7	65145215	738
57	65145283	759
83	65145309	771
52	65145278	773
24	65145233	780
25	65145234	794
19	65145228	812
40	65145250	818
15	65145223	806
20	65145229	819
43	65145269	823
69	65145295	809
94	65145321	825
17	65145226	840
30	65145239	583
27	65145236	871
