Index	JobID	Memory_MB
0	65360798	647.60
1	65360799	690.75
2	65360800	640.84
3	65360801	643.57
4	65360802	686.92
5	65360803	637.58
6	65360804	834.96
7	65360805	840.48
8	65360806	646.96
9	65360807	654.73
11	65360809	667.73
12	65360810	843.74
13	65360811	641.73
17	65360815	652.88
21	65360819	679.53
25	65360823	625.76
28	65360826	624.93
29	65360827	626.57
30	65360828	626.21
31	65360829	659.48
32	65360830	651.85
33	65360831	654.75
35	65360833	640.76
36	65360834	654.62
38	65360836	701.94
39	65360837	665.63
40	65360838	648.27
41	65360839	645.45
42	65360840	624.15
43	65360841	674.59
44	65360842	694.41
45	65360843	636.75
46	65360844	682.35
47	65360845	627.47
51	65360849	681.92
55	65360853	657.24
58	65360856	702.40
61	65360859	648.70
62	65360860	690.41
63	65360861	839.21
64	65360862	663.16
66	65360864	669.21
67	65360865	844.11
68	65360866	839.37
69	65360867	842.13
71	65360869	623.51
72	65360870	633.54
73	65360871	646.39
74	65360872	633.35
75	65360873	659.61
77	65360875	663.51
78	65360876	633.33
79	65360877	632.29
80	65360878	631.65
81	65360879	631.52
82	65360880	631.12
83	65360881	673.82
84	65360882	723.22
85	65360883	837.30
87	65360885	640.41
88	65360886	738.08
89	65360887	642.25
90	65360888	647.41
91	65360889	643.18
93	65360891	638.68
94	65360892	637.51
95	65360893	643.80
96	65360894	642.02
97	65360895	842.92
99	65360897	841.71
100	65360898	845.16
102	65360900	691.46
103	65360901	847.00
104	65360902	657.51
105	65360903	687.91
106	65360904	649.03
107	65360905	672.29
108	65360906	687.29
109	65360907	684.46
110	65360908	845.16
111	65360909	630.63
112	65360910	658.01
113	65360911	706.34
114	65360912	684.68
115	65360913	665.79
117	65360915	648.43
195	65360993	641.73
197	65360995	652.15
200	65360998	658.25
201	65360999	689.70
202	65361000	645.47
203	65361001	695.19
204	65361002	645.12
205	65361003	648.33
206	65361004	842.48
207	65361005	838.61
209	65361007	636.83
210	65361008	849.51
211	65361009	843.99
212	65361010	676.08
