Index	JobID	FLSIMU Runtime sec
56	66595956	493
53	66595952	558
66	66595967	561
25	66595919	563
34	66595930	490
11	66595902	560
33	66595929	559
4	66595893	589
30	66595925	564
86	66595990	565
35	66595931	524
31	66595927	636
32	66595928	807
44	66595942	755
23	66595917	578
69	66595971	667
8	66595899	809
36	66595932	555
51	66595949	721
75	66595977	755
81	66595985	578
28	66595922	753
38	66595934	786
26	66595920	705
92	66595997	572
74	66595976	645
17	66595910	777
68	66595970	737
77	66595980	773
91	66595996	792
61	66595961	694
58	66595958	628
1	66595875	571
80	66595984	557
13	66595904	798
48	66595946	769
59	66595959	743
96	66596002	825
7	66595898	807
65	66595966	566
40	66595936	597
16	66595908	767
15	66595907	770
43	66595941	736
63	66595963	741
90	66595995	946
72	66595974	793
98	66596005	814
94	66596000	813
57	66595957	771
70	66595972	817
6	66595897	820
10	66595901	820
78	66595981	914
29	66595923	835
3	66595891	802
18	66595911	823
24	66595918	825
62	66595962	831
67	66595968	857
87	66595992	829
82	66595986	823
60	66595960	770
99	66596006	818
27	66595921	932
0	66595874	831
95	66596001	847
20	66595914	801
14	66595906	834
64	66595964	829
5	66595895	847
85	66595989	824
47	66595945	795
83	66595987	837
97	66596003	835
93	66595999	850
79	66595982	814
89	66595994	812
19	66595912	854
71	66595973	811
9	66595900	797
22	66595916	848
84	66595988	716
12	66595903	790
41	66595937	814
52	66595950	801
73	66595975	827
50	66595948	815
37	66595933	821
39	66595935	827
45	66595943	814
21	66595915	940
42	66595940	830
88	66595993	860
54	66595953	839
2	66595877	926
55	66595955	777
49	66595947	873
76	66595979	811
46	66595944	926
