Index	JobID	Memory MB
56	66595956	467.86
53	66595952	353.74
66	66595967	403.27
25	66595919	502.31
34	66595930	443.17
11	66595902	419.04
33	66595929	374.72
4	66595893	395.51
30	66595925	365.92
86	66595990	388.75
35	66595931	516.76
31	66595927	531.16
32	66595928	377.98
44	66595942	432.98
23	66595917	503.03
69	66595971	395.34
8	66595899	429.10
36	66595932	497.05
51	66595949	531.03
75	66595977	486.02
81	66595985	378.82
28	66595922	451.81
38	66595934	413.33
26	66595920	493.23
92	66595997	380.22
74	66595976	432.88
17	66595910	353.10
68	66595970	401.74
77	66595980	546.29
91	66595996	374.36
61	66595961	429.40
58	66595958	370.23
1	66595875	468.04
80	66595984	502.18
13	66595904	486.15
48	66595946	420.86
59	66595959	437.54
96	66596002	428.26
7	66595898	352.28
65	66595966	377.05
40	66595936	499.34
16	66595908	401.50
15	66595907	393.81
43	66595941	340.66
63	66595963	337.38
90	66595995	479.34
72	66595974	381.67
98	66596005	430.23
94	66596000	503.15
57	66595957	360.76
70	66595972	395.25
6	66595897	488.40
10	66595901	415.29
78	66595981	437.64
29	66595923	371.17
3	66595891	511.99
18	66595911	354.01
24	66595918	358.68
62	66595962	380.03
67	66595968	451.62
87	66595992	422.24
82	66595986	484.45
60	66595960	386.94
99	66596006	429.10
27	66595921	484.44
0	66595874	426.00
95	66596001	438.86
20	66595914	508.36
14	66595906	414.47
64	66595964	401.47
5	66595895	436.08
85	66595989	510.22
47	66595945	413.56
83	66595987	418.17
97	66596003	410.40
93	66595999	358.12
79	66595982	528.97
89	66595994	350.41
19	66595912	529.03
71	66595973	505.64
9	66595900	371.46
22	66595916	406.48
84	66595988	503.85
12	66595903	397.06
41	66595937	363.25
52	66595950	365.45
73	66595975	482.59
50	66595948	378.97
37	66595933	530.17
39	66595935	379.04
45	66595943	395.20
21	66595915	484.93
42	66595940	410.68
88	66595993	425.65
54	66595953	427.22
2	66595877	485.02
55	66595955	502.77
49	66595947	482.04
76	66595979	485.82
46	66595944	398.28
