Index	JobID	FLSIMU Runtime sec
5	66843297	6
14	66843306	5
20	66843312	3
10	66843302	7
32	66843324	3
36	66843328	4
4	66843296	8
11	66843303	7
12	66843304	6
16	66843308	3
24	66843316	3
2	66843294	7
6	66843298	8
26	66843318	4
27	66843319	4
25	66843317	4
7	66843299	6
13	66843305	6
0	66843292	11
9	66843301	9
8	66843300	9
30	66843322	7
3	66843295	9
23	66843315	8
62	66843363	5
18	66843310	7
46	66843341	3
19	66843311	7
44	66843338	7
34	66843326	5
37	66843329	4
48	66843343	4
22	66843314	8
1	66843293	7
33	66843325	11
40	66843332	4
35	66843327	9
54	66843352	7
28	66843320	8
68	66843372	3
47	66843342	4
58	66843357	5
17	66843309	10
42	66843335	6
43	66843336	6
31	66843323	8
45	66843339	8
41	66843334	9
21	66843313	9
51	66843347	5
39	66843331	10
60	66843360	8
61	66843361	6
76	66843383	5
63	66843365	9
55	66843353	9
59	66843359	8
72	66843377	4
77	66843384	4
64	66843366	5
65	66843368	5
53	66843350	3
49	66843345	7
71	66843376	4
52	66843349	9
99	66843407	4
38	66843330	11
67	66843371	9
56	66843354	9
92	66843400	5
57	66843356	9
81	66843389	7
82	66843390	4
75	66843382	6
73	66843379	6
90	66843398	4
15	66843307	12
87	66843395	8
69	66843373	10
66	66843369	8
70	66843375	10
79	66843387	8
83	66843391	7
78	66843386	9
50	66843346	9
80	66843388	8
88	66843396	8
84	66843392	8
89	66843397	9
94	66843402	9
93	66843401	9
91	66843399	9
98	66843406	7
95	66843403	10
97	66843405	9
74	66843380	8
86	66843394	11
85	66843393	9
29	66843321	8
96	66843404	11
