Index	JobID	Runtime sec
75	66299097	19
82	66299105	21
7	66299019	39
3	66299014	39
83	66299106	23
23	66299037	40
57	66299077	20
78	66299100	22
2	66299013	40
11	66299023	39
28	66299042	40
59	66299079	23
34	66299049	41
29	66299043	40
68	66299089	24
39	66299055	23
8	66299020	41
31	66299046	41
1	66299012	55
41	66299058	24
77	66299099	23
4	66299016	42
73	66299094	24
36	66299051	42
19	66299032	41
18	66299031	41
70	66299091	24
12	66299025	42
38	66299053	24
79	66299101	24
55	66299074	24
26	66299040	42
69	66299090	24
37	66299052	42
66	66299087	25
40	66299056	25
43	66299060	24
32	66299047	43
80	66299102	24
53	66299071	26
62	66299082	25
20	66299033	44
72	66299093	24
24	66299038	42
13	66299026	43
49	66299067	24
25	66299039	43
58	66299078	26
74	66299096	25
15	66299028	43
5	66299017	44
16	66299029	45
22	66299036	45
6	66299018	44
60	66299080	26
9	66299021	44
10	66299022	43
35	66299050	44
63	66299083	26
0	66299010	58
47	66299065	26
44	66299061	26
46	66299063	24
50	66299068	27
21	66299034	46
67	66299088	27
30	66299044	44
64	66299085	27
56	66299076	28
52	66299070	27
54	66299073	29
65	66299086	28
17	66299030	46
61	66299081	28
51	66299069	28
81	66299103	29
48	66299066	27
76	66299098	29
71	66299092	30
33	66299048	49
42	66299059	34
99	66299124	11
90	66299114	12
86	66299110	11
94	66299119	12
84	66299107	14
95	66299120	14
91	66299115	14
88	66299112	14
96	66299121	15
93	66299118	15
89	66299113	16
97	66299122	19
87	66299111	19
92	66299116	20
98	66299123	21
85	66299109	21
