Index	JobID	Memory MB
2	66664145	303.04
4	66664147	342.37
7	66664150	384.63
84	66664234	442.38
67	66664212	470.41
78	66664225	441.40
98	66664248	467.52
27	66664171	341.01
33	66664177	336.65
52	66664197	342.71
24	66664168	470.55
43	66664188	474.78
68	66664213	334.54
53	66664198	443.21
75	66664220	300.42
35	66664179	453.64
48	66664193	335.66
26	66664170	467.30
82	66664232	467.68
11	66664154	448.76
56	66664201	375.59
23	66664167	337.67
61	66664206	466.60
83	66664233	472.04
69	66664214	353.88
81	66664231	446.46
89	66664239	447.70
20	66664164	474.08
76	66664221	350.21
91	66664241	358.30
92	66664242	467.88
94	66664244	473.56
87	66664237	473.69
95	66664245	484.81
86	66664236	469.80
85	66664235	446.23
80	66664230	376.09
31	66664175	338.22
54	66664199	442.68
3	66664146	446.84
8	66664151	347.45
37	66664181	484.65
60	66664205	491.46
79	66664228	482.99
19	66664163	473.89
38	66664182	363.34
99	66664249	469.69
90	66664240	464.67
18	66664162	484.21
14	66664157	451.95
13	66664156	441.25
40	66664184	343.43
12	66664155	481.81
21	66664165	473.80
17	66664161	448.40
6	66664149	482.67
28	66664172	336.60
58	66664203	460.90
39	66664183	473.18
1	66664144	343.74
16	66664160	468.53
9	66664152	355.31
0	66664143	479.65
22	66664166	442.60
46	66664191	444.50
29	66664173	462.40
34	66664178	459.35
50	66664195	458.45
36	66664180	458.94
63	66664208	448.77
10	66664153	466.55
45	66664190	445.47
72	66664217	468.13
30	66664174	450.10
5	66664148	464.56
41	66664185	461.02
44	66664189	464.67
57	66664202	465.50
59	66664204	463.34
66	66664211	457.78
77	66664223	474.91
42	66664186	496.72
49	66664194	454.18
55	66664200	473.10
70	66664215	467.70
15	66664159	359.10
88	66664238	467.67
62	66664207	452.24
64	66664209	362.60
74	66664219	361.61
51	66664196	471.58
32	66664176	442.42
71	66664216	458.18
65	66664210	467.53
25	66664169	468.79
97	66664247	467.31
47	66664192	466.87
73	66664218	439.61
96	66664246	448.99
93	66664243	441.96
