Index	JobID	FLRECO Runtime sec
61	66674173	5726
60	66674171	6208
59	66674169	6294
12	66673898	6363
80	66674212	6431
90	66674232	6671
40	66673929	6802
88	66674228	6930
42	66673931	7041
99	66674252	7263
58	66674167	7533
91	66674234	7557
39	66673928	7424
56	66674163	7762
92	66674236	7887
89	66674230	8004
93	66674238	8280
55	66674161	8356
25	66673912	8257
68	66674187	8189
30	66673918	8393
66	66674183	8326
79	66674209	8431
98	66674250	8511
50	66674153	8511
54	66674159	8654
11	66673897	8646
32	66673920	8699
62	66674176	8739
28	66673916	8705
67	66674185	8771
73	66674197	8806
44	66673933	8934
71	66674194	9077
85	66674221	9145
47	66673936	9029
5	66673891	9002
4	66673890	9013
43	66673932	9056
76	66674203	9116
33	66673921	9112
18	66673905	9095
3	66673889	9139
20	66673907	9160
87	66674226	9171
35	66673923	9422
81	66674214	9188
65	66674181	9171
69	66674189	9264
72	66674196	9234
14	66673900	9236
17	66673904	9332
6	66673892	9291
48	66673937	9359
83	66674217	9306
37	66673926	9317
97	66674248	9384
51	66674156	9416
23	66673910	9442
1	66673887	9482
74	66674200	9494
41	66673930	9541
9	66673895	9544
53	66674158	9626
70	66674191	9672
77	66674205	9880
96	66674246	9651
24	66673911	9740
84	66674219	9824
52	66674157	9769
86	66674223	9771
46	66673935	9868
22	66673909	9887
57	66674165	9926
29	66673917	9885
8	66673894	9931
26	66673913	9945
15	66673901	10085
10	66673896	10022
34	66673922	10044
13	66673899	10154
63	66674177	10111
94	66674241	10261
36	66673924	10258
38	66673927	10259
31	66673919	10272
75	66674201	10580
19	66673906	10320
45	66673934	10411
27	66673914	10503
82	66674215	10487
16	66673902	10793
0	66673886	10477
2	66673888	10709
78	66674207	10815
7	66673893	10719
95	66674244	10764
21	66673908	10839
64	66674179	11470
49	66673939	11516
