Index	JobID	Memory_MB
0	66673886	312.80
1	66673887	430.37
2	66673888	307.75
3	66673889	356.95
4	66673890	381.63
5	66673891	535.98
6	66673892	416.63
7	66673893	307.43
8	66673894	385.32
9	66673895	378.57
10	66673896	364.01
11	66673897	536.18
12	66673898	401.03
13	66673899	398.32
14	66673900	361.19
15	66673901	334.76
16	66673902	521.86
18	66673904	336.05
19	66673905	397.90
20	66673906	526.95
21	66673907	424.11
22	66673908	314.17
23	66673909	420.68
24	66673910	421.41
25	66673911	528.90
26	66673912	527.75
27	66673913	416.08
28	66673914	510.99
30	66673916	380.19
31	66673917	382.04
32	66673918	399.19
33	66673919	375.66
34	66673920	537.26
35	66673921	421.85
36	66673922	369.53
37	66673923	352.06
38	66673924	337.96
40	66673926	358.35
41	66673927	339.73
42	66673928	379.46
43	66673929	368.15
44	66673930	517.78
45	66673931	360.10
46	66673932	423.89
47	66673933	331.38
48	66673934	357.83
49	66673935	337.54
50	66673936	340.08
51	66673937	350.94
53	66673939	375.97
267	66674153	440.57
270	66674156	390.15
271	66674157	519.78
272	66674158	409.39
273	66674159	427.79
274	66674160	520.89
275	66674161	349.56
276	66674162	344.01
277	66674163	324.44
278	66674164	384.99
279	66674165	361.85
280	66674166	351.90
281	66674167	334.07
282	66674168	348.43
283	66674169	326.23
284	66674170	393.91
285	66674171	350.42
286	66674172	353.61
287	66674173	343.80
288	66674174	366.77
289	66674175	353.34
290	66674176	416.75
291	66674177	371.74
292	66674178	362.02
293	66674179	332.55
294	66674180	366.90
295	66674181	352.28
296	66674182	447.74
297	66674183	385.67
298	66674184	442.72
299	66674185	478.20
300	66674186	440.24
301	66674187	527.60
302	66674188	527.70
303	66674189	388.01
304	66674190	361.33
305	66674191	414.86
306	66674192	430.93
307	66674193	525.64
308	66674194	425.50
309	66674195	432.80
310	66674196	473.50
311	66674197	369.80
312	66674198	545.31
313	66674199	564.49
314	66674200	412.53
315	66674201	367.99
316	66674202	440.27
317	66674203	414.89
318	66674204	418.78
319	66674205	529.67
320	66674206	434.96
321	66674207	411.53
322	66674208	447.88
323	66674209	435.40
324	66674210	403.85
325	66674211	396.85
326	66674212	421.22
327	66674213	427.83
328	66674214	427.24
329	66674215	422.33
330	66674216	416.63
331	66674217	409.52
332	66674218	564.87
333	66674219	523.34
334	66674220	409.70
335	66674221	379.83
336	66674222	423.38
337	66674223	359.79
338	66674224	561.31
339	66674225	543.84
340	66674226	421.81
341	66674227	353.83
342	66674228	370.73
343	66674229	369.71
344	66674230	351.15
345	66674231	366.72
346	66674232	339.77
347	66674233	344.25
348	66674234	369.32
349	66674235	345.99
350	66674236	346.26
351	66674237	349.37
352	66674238	340.62
353	66674239	355.81
354	66674240	550.75
355	66674241	371.57
357	66674243	376.04
358	66674244	343.13
359	66674245	351.70
360	66674246	393.65
361	66674247	377.12
362	66674248	421.30
363	66674249	368.70
364	66674250	356.97
365	66674251	366.91
366	66674252	432.66
