Index	JobID	FLRECO Runtime sec
59	66674266	9586
2	66674164	9662
84	66674475	10468
63	66674271	10500
34	66674227	10718
35	66674229	10783
56	66674263	10964
6	66674172	11024
90	66674483	11179
21	66674202	11038
89	66674482	11441
54	66674260	11405
72	66674460	11500
57	66674264	11595
52	66674258	11569
50	66674256	12097
36	66674231	12092
66	66674453	11591
33	66674225	11802
5	66674170	12009
74	66674463	11867
39	66674237	12100
27	66674213	11972
71	66674459	12422
64	66674272	12113
61	66674268	12041
77	66674466	12514
62	66674270	12192
53	66674259	12162
38	66674235	12184
80	66674471	12376
4	66674168	12475
40	66674239	12582
58	66674265	12424
3	66674166	12468
20	66674199	12306
60	66674267	12794
55	66674261	13306
76	66674465	13245
32	66674224	12980
19	66674198	13002
1	66674162	13280
88	66674480	13374
31	66674222	13203
75	66674464	13470
73	66674461	13521
37	66674233	13693
81	66674472	13814
42	66674243	13563
99	66674647	13600
24	66674208	13810
28	66674216	13886
67	66674454	14059
29	66674218	14088
47	66674253	14229
16	66674192	14206
95	66674489	14385
94	66674488	14342
13	66674186	14291
65	66674451	14422
22	66674204	14777
12	66674184	14389
82	66674473	14606
93	66674486	14813
14	66674188	14803
30	66674220	14953
7	66674174	14917
91	66674484	14986
0	66674160	15103
26	66674211	15009
25	66674210	15299
97	66674641	15253
18	66674195	15307
92	66674485	15388
8	66674175	15370
48	66674254	15521
98	66674644	15373
85	66674477	15571
86	66674478	15585
43	66674245	15632
17	66674193	15661
49	66674255	15851
23	66674206	15932
44	66674247	16069
9	66674178	16491
15	66674190	16299
11	66674182	16493
45	66674249	16645
41	66674240	16626
70	66674458	17211
69	66674457	16846
68	66674455	17099
46	66674251	17054
83	66674474	17230
96	66674490	17873
79	66674468	18358
78	66674467	18998
87	66674479	18558
10	66674180	19214
51	66674257	15499
