Index	JobID	FLSIMU Runtime sec
59	66674266	573
2	66674164	529
84	66674475	705
63	66674271	730
34	66674227	588
35	66674229	776
56	66674263	778
6	66674172	821
90	66674483	776
21	66674202	1186
89	66674482	860
54	66674260	1036
72	66674460	937
57	66674264	910
52	66674258	936
50	66674256	544
36	66674231	555
66	66674453	1062
33	66674225	894
5	66674170	744
74	66674463	925
39	66674237	712
27	66674213	905
71	66674459	539
64	66674272	863
61	66674268	952
77	66674466	527
62	66674270	903
53	66674259	953
38	66674235	942
80	66674471	809
4	66674168	806
40	66674239	743
58	66674265	929
3	66674166	928
20	66674199	1161
60	66674267	925
55	66674261	548
76	66674465	606
32	66674224	1103
19	66674198	1158
1	66674162	962
88	66674480	961
31	66674222	1176
75	66674464	959
73	66674461	914
37	66674233	767
81	66674472	712
42	66674243	1037
99	66674647	1122
24	66674208	1265
28	66674216	1225
67	66674454	1167
29	66674218	1207
47	66674253	1189
16	66674192	1241
95	66674489	1055
94	66674488	1121
13	66674186	1242
65	66674451	1128
22	66674204	848
12	66674184	1241
82	66674473	1130
93	66674486	1117
14	66674188	1235
30	66674220	1168
7	66674174	1242
91	66674484	1194
0	66674160	1245
26	66674211	1351
25	66674210	1173
97	66674641	1221
18	66674195	1234
92	66674485	1195
8	66674175	1252
48	66674254	1153
98	66674644	1300
85	66674477	1165
86	66674478	1162
43	66674245	1202
17	66674193	1239
49	66674255	1215
23	66674206	1273
44	66674247	1243
9	66674178	1109
15	66674190	1308
11	66674182	1194
45	66674249	1157
41	66674240	1187
70	66674458	686
69	66674457	1104
68	66674455	1126
46	66674251	1212
83	66674474	1122
96	66674490	1117
79	66674468	1166
78	66674467	737
87	66674479	1191
10	66674180	1191
51	66674257	1242
