Index	JobID	Runtime sec
52	66674709	15185
42	66674697	16451
47	66674703	16518
56	66674714	17422
41	66674696	17984
43	66674698	18257
28	66674680	19253
45	66674701	19362
20	66674670	19605
99	66674767	19815
89	66674755	20791
25	66674676	21218
53	66674710	21885
61	66674720	21943
21	66674671	22404
19	66674669	22616
22	66674673	22760
91	66674757	22837
1	66674643	22842
44	66674700	23125
97	66674764	23137
27	66674679	23404
78	66674740	23483
55	66674712	23522
26	66674677	23583
48	66674704	23621
29	66674681	23691
24	66674675	23930
54	66674711	24173
23	66674674	24212
92	66674758	24490
50	66674707	24577
46	66674702	24715
9	66674657	24957
49	66674705	25011
77	66674738	25118
13	66674662	25267
88	66674754	25280
14	66674663	25336
86	66674751	25365
63	66674722	25438
3	66674648	25503
15	66674664	25549
17	66674667	25568
65	66674725	25602
12	66674661	25817
94	66674761	25883
85	66674750	26104
6	66674652	26157
5	66674650	26207
95	66674762	26217
4	66674649	26337
11	66674659	26621
72	66674733	26695
73	66674734	26705
74	66674735	26751
84	66674749	27028
68	66674728	27134
90	66674756	27212
82	66674747	27276
66	66674726	27329
62	66674721	27370
33	66674686	27377
71	66674731	27396
7	66674653	27397
76	66674737	27417
69	66674729	27464
70	66674730	27625
83	66674748	27952
93	66674760	28095
98	66674765	28122
87	66674752	28215
16	66674665	28413
96	66674763	28462
80	66674744	28546
18	66674668	28569
37	66674691	28574
10	66674658	28640
58	66674716	28705
31	66674683	28713
35	66674688	28827
39	66674694	29486
32	66674685	29561
8	66674654	29623
60	66674718	29654
64	66674723	29734
0	66674640	29993
59	66674717	30053
2	66674646	30095
75	66674736	30119
57	66674715	30300
38	66674693	30485
34	66674687	30844
81	66674745	31017
67	66674727	31238
30	66674682	31241
36	66674690	31492
79	66674741	33069
40	66674695	33317
51	66674708	21479
