Index	JobID	Runtime sec
95	66299951	107
23	66299869	136
33	66299880	141
96	66299952	113
1	66299839	158
20	66299865	170
31	66299878	173
40	66299888	177
6	66299845	178
76	66299929	154
30	66299877	189
32	66299879	190
22	66299868	195
28	66299874	195
97	66299953	169
34	66299881	198
98	66299954	173
80	66299933	174
35	66299882	203
72	66299924	175
37	66299884	205
27	66299873	205
2	66299840	208
94	66299950	179
26	66299872	209
58	66299908	210
87	66299941	185
52	66299901	216
74	66299927	188
11	66299850	217
65	66299916	193
82	66299935	195
69	66299921	195
5	66299844	225
39	66299887	226
41	66299889	226
4	66299843	227
50	66299899	229
21	66299867	230
49	66299898	230
89	66299943	201
42	66299890	230
3	66299842	232
24	66299870	230
7	66299846	233
29	66299875	233
14	66299855	232
25	66299871	234
60	66299911	208
92	66299946	207
44	66299892	236
17	66299861	237
19	66299864	237
18	66299863	239
56	66299906	238
48	66299897	240
51	66299900	241
47	66299896	242
77	66299930	214
43	66299891	242
0	66299838	243
12	66299852	248
9	66299848	248
38	66299885	249
8	66299847	248
81	66299934	220
57	66299907	251
88	66299942	222
86	66299940	222
54	66299903	252
36	66299883	252
13	66299853	252
16	66299859	253
55	66299905	254
15	66299857	255
45	66299893	255
84	66299938	231
63	66299914	234
99	66299955	233
66	66299918	235
78	66299931	235
46	66299894	264
53	66299902	265
70	66299922	237
91	66299945	237
71	66299923	238
79	66299932	238
93	66299947	239
64	66299915	241
67	66299919	240
61	66299912	242
75	66299928	242
73	66299925	243
83	66299937	245
62	66299913	247
85	66299939	246
10	66299849	276
68	66299920	249
90	66299944	265
59	66299909	278
