Index	JobID	Memory_MB
0	66674923	490.24
1	66674924	457.77
2	66674925	533.57
3	66674926	431.38
4	66674927	554.27
5	66674928	446.95
6	66674929	645.67
7	66674930	526.49
8	66674931	594.81
10	66674933	560.32
12	66674935	578.02
13	66674936	596.87
14	66674937	652.95
15	66674938	529.85
16	66674939	698.17
17	66674940	548.78
18	66674941	630.95
20	66674943	493.88
21	66674944	590.62
134	66675057	714.85
136	66675059	599.88
137	66675060	685.19
138	66675061	414.17
139	66675062	557.67
140	66675063	409.12
141	66675064	497.06
142	66675065	416.28
143	66675066	511.78
145	66675068	586.23
146	66675069	488.05
147	66675070	432.24
148	66675071	535.46
149	66675072	594.66
150	66675073	635.33
151	66675074	434.78
153	66675076	646.07
154	66675077	401.67
155	66675078	543.83
156	66675079	441.76
157	66675080	432.55
158	66675081	646.11
159	66675082	399.53
160	66675083	640.58
161	66675084	423.80
162	66675085	643.00
163	66675086	649.75
164	66675087	484.87
167	66675090	487.45
168	66675091	631.68
169	66675092	686.30
170	66675093	464.84
171	66675094	596.34
172	66675095	651.76
173	66675096	696.77
174	66675097	492.04
175	66675098	562.21
176	66675099	601.98
178	66675101	696.77
179	66675102	518.43
180	66675103	688.19
181	66675104	599.04
182	66675105	588.88
183	66675106	548.00
184	66675107	598.32
185	66675108	634.68
186	66675109	494.53
187	66675110	650.69
189	66675112	536.94
190	66675113	536.65
191	66675114	482.62
192	66675115	635.74
193	66675116	689.22
194	66675117	449.08
195	66675118	697.49
196	66675119	601.51
197	66675120	697.06
198	66675121	598.06
201	66675124	693.03
202	66675125	593.47
205	66675128	552.09
206	66675129	445.63
207	66675130	646.79
208	66675131	419.34
209	66675132	688.21
210	66675133	590.16
211	66675134	630.90
212	66675135	490.95
213	66675136	639.61
215	66675138	427.95
216	66675139	533.83
217	66675140	650.86
218	66675141	408.13
219	66675142	514.98
220	66675143	393.29
221	66675144	496.30
222	66675145	389.40
223	66675146	534.08
224	66675147	404.82
225	66675148	538.19
226	66675149	432.21
228	66675151	502.39
229	66675152	545.22
230	66675153	576.10
231	66675154	399.95
232	66675155	509.93
233	66675156	483.18
234	66675157	499.95
235	66675158	399.28
236	66675159	593.85
237	66675160	415.68
238	66675161	487.66
239	66675162	483.90
242	66675165	698.80
243	66675166	484.55
244	66675167	653.92
245	66675168	483.60
246	66675169	536.62
247	66675170	402.93
248	66675171	541.81
249	66675172	502.40
250	66675173	697.15
251	66675174	425.35
252	66675175	698.64
253	66675176	597.24
255	66675178	647.93
256	66675179	460.89
257	66675180	617.68
258	66675181	594.54
259	66675182	653.03
260	66675183	420.10
261	66675184	647.36
262	66675185	457.19
263	66675186	549.10
264	66675187	406.93
265	66675188	546.49
266	66675189	490.60
268	66675191	646.01
269	66675192	583.46
270	66675193	647.65
271	66675194	413.04
272	66675195	559.07
273	66675196	483.34
274	66675197	492.20
275	66675198	410.68
276	66675199	516.01
277	66675200	413.29
279	66675202	506.33
280	66675203	395.28
281	66675204	635.87
282	66675205	393.96
283	66675206	420.40
284	66675207	637.32
285	66675208	526.10
286	66675209	601.27
287	66675210	539.17
288	66675211	401.38
289	66675212	645.83
290	66675213	479.99
292	66675215	505.18
293	66675216	422.40
294	66675217	592.77
295	66675218	387.99
296	66675219	640.00
297	66675220	580.75
298	66675221	648.11
300	66675223	641.75
301	66675224	647.44
302	66675225	692.35
303	66675226	656.56
304	66675227	640.50
305	66675228	687.16
307	66675230	645.02
308	66675231	690.21
309	66675232	695.60
310	66675233	688.67
311	66675234	695.12
312	66675235	644.88
319	66675242	662.41
321	66675244	696.08
322	66675245	641.00
