Index	JobID	Memory MB
75	66299097	299.92
82	66299105	313.93
7	66299019	194.72
3	66299014	232.30
83	66299106	318.68
23	66299037	338.15
57	66299077	314.31
78	66299100	183.82
2	66299013	226.52
11	66299023	228.61
28	66299042	247.73
59	66299079	314.00
34	66299049	339.75
29	66299043	231.04
68	66299089	313.88
39	66299055	316.12
8	66299020	230.99
31	66299046	238.86
1	66299012	337.03
41	66299058	320.44
77	66299099	211.92
4	66299016	337.44
73	66299094	315.66
36	66299051	350.05
19	66299032	340.57
18	66299031	336.80
70	66299091	212.25
12	66299025	336.89
38	66299053	315.80
79	66299101	315.92
55	66299074	314.72
26	66299040	227.07
69	66299090	316.91
37	66299052	335.26
66	66299087	312.69
40	66299056	211.31
43	66299060	210.71
32	66299047	333.65
80	66299102	339.33
53	66299071	338.45
62	66299082	336.62
20	66299033	229.80
72	66299093	342.67
24	66299038	228.76
13	66299026	341.88
49	66299067	343.01
25	66299039	339.64
58	66299078	347.04
74	66299096	370.56
15	66299028	230.52
5	66299017	343.79
16	66299029	359.03
22	66299036	229.27
6	66299018	335.01
60	66299080	337.40
9	66299021	338.79
10	66299022	229.72
35	66299050	345.79
63	66299083	350.11
0	66299010	335.98
47	66299065	348.75
44	66299061	354.15
46	66299063	333.62
50	66299068	335.55
21	66299034	333.61
67	66299088	342.60
30	66299044	228.90
64	66299085	229.48
56	66299076	344.54
52	66299070	347.64
54	66299073	259.83
65	66299086	338.02
17	66299030	347.10
61	66299081	344.97
51	66299069	340.75
81	66299103	343.41
48	66299066	355.54
76	66299098	349.22
71	66299092	338.80
33	66299048	229.39
42	66299059	343.58
99	66299124	1.08
90	66299114	230.53
86	66299110	241.81
94	66299119	334.45
84	66299107	349.02
95	66299120	336.54
91	66299115	226.88
88	66299112	225.66
96	66299121	336.51
93	66299118	334.01
89	66299113	341.31
97	66299122	327.26
87	66299111	339.77
92	66299116	94.06
98	66299123	249.14
85	66299109	332.17
