Index	JobID	Runtime sec
11	66302695	671
6	66302688	746
16	66302700	599
5	66302687	821
1	66302681	866
0	66302680	964
2	66302682	939
3	66302685	945
4	66302686	955
7	66302689	906
9	66302691	910
10	66302694	934
8	66302690	999
12	66302696	956
13	66302697	970
14	66302698	963
15	66302699	948
17	66302701	969
18	66302702	528
25	66302711	483
21	66302706	587
28	66302714	612
20	66302705	678
19	66302704	709
37	66302726	699
38	66302727	677
26	66302712	795
23	66302708	858
24	66302710	909
27	66302713	906
33	66302721	891
31	66302719	896
29	66302717	917
22	66302707	976
34	66302722	938
44	66302733	781
36	66302724	947
30	66302718	973
32	66302720	973
47	66302737	558
35	66302723	1003
40	66302729	947
39	66302728	951
42	66302731	947
43	66302732	945
41	66302730	962
45	66302734	956
50	66302740	863
51	66302741	687
46	66302735	891
48	66302738	916
49	66302739	920
58	66302749	502
62	66302753	651
60	66302751	719
75	66302768	672
61	66302752	771
77	66302770	707
64	66302756	747
74	66302767	737
52	66302743	900
67	66302759	748
55	66302746	891
70	66302762	762
56	66302747	919
53	66302744	929
54	66302745	941
59	66302750	937
57	66302748	946
71	66302763	866
66	66302758	894
63	66302755	941
65	66302757	944
76	66302769	923
69	66302761	926
68	66302760	939
72	66302764	942
73	66302765	974
78	66302771	789
86	66302780	550
79	66302772	878
80	66302773	893
81	66302774	912
83	66302777	780
85	66302779	791
87	66302781	839
84	66302778	951
82	66302775	992
90	66302784	734
88	66302782	788
89	66302783	1006
94	66302789	536
92	66302786	588
97	66302792	710
93	66302788	785
99	66302794	775
91	66302785	953
98	66302793	925
95	66302790	969
96	66302791	973
