Index	JobID	Memory MB
95	66299951	362.38
23	66299869	384.18
33	66299880	353.06
96	66299952	369.85
1	66299839	335.69
20	66299865	364.39
31	66299878	332.05
40	66299888	373.72
6	66299845	272.49
76	66299929	263.26
30	66299877	263.03
32	66299879	359.56
22	66299868	332.63
28	66299874	334.23
97	66299953	260.64
34	66299881	358.10
98	66299954	358.27
80	66299933	375.35
35	66299882	370.75
72	66299924	366.99
37	66299884	362.52
27	66299873	344.50
2	66299840	359.13
94	66299950	384.74
26	66299872	364.21
58	66299908	356.13
87	66299941	371.13
52	66299901	361.18
74	66299927	252.18
11	66299850	394.64
65	66299916	368.64
82	66299935	359.86
69	66299921	397.88
5	66299844	362.16
39	66299887	248.92
41	66299889	362.46
4	66299843	364.67
50	66299899	356.79
21	66299867	366.67
49	66299898	360.81
89	66299943	356.02
42	66299890	329.50
3	66299842	368.89
24	66299870	363.10
7	66299846	365.35
29	66299875	334.32
14	66299855	363.68
25	66299871	369.93
60	66299911	370.57
92	66299946	366.74
44	66299892	356.25
17	66299861	358.74
19	66299864	385.26
18	66299863	377.44
56	66299906	361.58
48	66299897	379.21
51	66299900	373.50
47	66299896	267.74
77	66299930	252.15
43	66299891	356.77
0	66299838	366.96
12	66299852	396.14
9	66299848	374.36
38	66299885	367.87
8	66299847	373.62
81	66299934	363.54
57	66299907	244.50
88	66299942	384.08
86	66299940	354.13
54	66299903	380.91
36	66299883	383.42
13	66299853	368.09
16	66299859	377.73
55	66299905	365.22
15	66299857	271.75
45	66299893	360.87
84	66299938	361.18
63	66299914	355.82
99	66299955	365.88
66	66299918	370.76
78	66299931	365.44
46	66299894	371.39
53	66299902	368.69
70	66299922	358.27
91	66299945	369.72
71	66299923	352.84
79	66299932	366.83
93	66299947	369.01
64	66299915	420.01
67	66299919	367.29
61	66299912	356.25
75	66299928	402.24
73	66299925	364.51
83	66299937	403.92
62	66299913	368.12
85	66299939	354.80
10	66299849	352.81
68	66299920	362.65
90	66299944	365.63
59	66299909	369.18
