Index	JobID	Runtime sec
38	66327803	26509
18	66327781	26966
90	66327866	27042
86	66327862	27293
28	66327792	28968
51	66327824	29109
11	66327773	29221
75	66327850	29332
42	66327807	29431
37	66327801	29506
85	66327861	29659
32	66327796	29906
72	66327847	30027
58	66327832	30136
60	66327834	30275
71	66327846	30335
48	66327820	30343
19	66327782	30387
62	66327836	30546
98	66327875	30824
0	66327761	30870
97	66327874	30847
53	66327826	31183
84	66327860	31259
26	66327790	31334
1	66327762	31373
76	66327851	31398
31	66327795	31415
77	66327852	31449
96	66327873	31610
74	66327849	31635
46	66327817	31666
40	66327805	31942
36	66327800	31977
64	66327838	32051
89	66327865	32061
44	66327809	32077
21	66327784	32118
43	66327808	32173
99	66327876	32186
29	66327793	32297
95	66327872	32295
47	66327819	32353
3	66327764	32410
20	66327783	32447
54	66327827	32544
52	66327825	32687
65	66327839	32716
67	66327841	32887
70	66327845	32927
25	66327788	32962
2	66327763	33019
61	66327835	33003
17	66327780	33008
82	66327858	33087
10	66327772	33130
16	66327779	33200
41	66327806	33241
63	66327837	33251
69	66327844	33319
79	66327854	33344
22	66327785	33380
39	66327804	33395
81	66327857	33457
91	66327868	33558
45	66327810	33596
55	66327828	33659
93	66327870	33670
33	66327797	33725
49	66327821	33726
56	66327829	33761
12	66327774	33838
14	66327776	33936
88	66327864	33974
92	66327869	34061
13	66327775	34142
78	66327853	34146
35	66327799	34154
34	66327798	34172
24	66327787	34268
94	66327871	34308
30	66327794	34407
9	66327771	34470
59	66327833	34487
73	66327848	34773
87	66327863	34863
68	66327843	35094
15	66327778	35338
8	66327770	35759
83	66327859	35822
57	66327831	35921
5	66327767	35953
80	66327856	36947
23	66327786	37031
6	66327768	37068
4	66327766	37719
50	66327822	37919
27	66327791	38555
66	66327840	38954
7	66327769	39008
