Index	JobID	Memory MB
93	66301483	441.32
20	66301399	337.66
7	66301384	414.62
45	66301428	423.23
95	66301485	425.71
5	66301382	318.46
36	66301417	420.94
12	66301390	422.77
2	66301376	426.03
77	66301465	423.71
14	66301392	327.70
18	66301396	335.08
17	66301395	336.77
96	66301486	319.10
55	66301440	428.78
44	66301427	431.42
94	66301484	450.24
54	66301439	416.25
26	66301405	440.00
35	66301416	427.12
56	66301441	428.83
43	66301426	440.38
19	66301397	428.40
50	66301435	311.20
51	66301436	319.72
33	66301414	422.65
8	66301385	432.03
82	66301471	418.08
6	66301383	450.30
72	66301460	448.64
49	66301434	433.00
1	66301375	313.60
21	66301400	419.40
22	66301401	430.44
24	66301403	449.44
58	66301443	424.24
76	66301464	419.27
23	66301402	426.76
98	66301488	431.13
29	66301410	428.46
91	66301481	437.00
9	66301386	307.31
10	66301387	322.57
67	66301453	421.49
32	66301413	423.85
69	66301456	449.60
11	66301389	431.64
37	66301419	426.69
13	66301391	441.85
31	66301412	313.25
15	66301393	428.31
86	66301475	425.52
48	66301432	313.93
34	66301415	440.36
0	66301374	419.81
25	66301404	335.82
78	66301466	426.94
28	66301409	418.53
3	66301379	413.56
42	66301425	436.69
52	66301437	427.94
89	66301478	441.94
87	66301476	431.28
53	66301438	424.52
61	66301447	430.47
46	66301429	422.40
30	66301411	432.40
27	66301406	335.17
92	66301482	421.24
62	66301448	436.83
85	66301474	309.94
38	66301420	335.53
90	66301480	422.67
75	66301463	420.27
68	66301454	424.75
64	66301450	431.25
40	66301423	319.58
4	66301381	429.58
84	66301473	427.04
73	66301461	429.16
57	66301442	439.15
81	66301470	424.09
83	66301472	428.26
59	66301445	451.57
63	66301449	432.88
71	66301459	429.40
79	66301467	417.49
80	66301469	421.62
97	66301487	423.86
39	66301421	429.31
60	66301446	431.11
41	66301424	417.30
74	66301462	433.50
99	66301490	421.96
16	66301394	423.50
66	66301452	429.07
47	66301431	445.96
70	66301457	423.02
88	66301477	428.72
65	66301451	423.45
