Index	JobID	FLRECO Runtime sec
1	66687762	345
4	66687765	348
32	66687799	288
6	66687767	344
20	66687784	353
25	66687791	372
30	66687796	389
18	66687781	434
7	66687768	464
49	66687819	389
9	66687771	466
19	66687783	445
8	66687769	477
10	66687772	481
0	66687761	502
12	66687775	490
60	66687832	415
3	66687764	516
16	66687779	464
44	66687813	423
61	66687833	433
11	66687773	508
31	66687798	478
23	66687787	461
28	66687794	469
29	66687795	480
62	66687834	455
14	66687777	535
13	66687776	535
5	66687766	564
55	66687826	466
22	66687786	493
33	66687800	465
80	66687854	411
39	66687807	480
50	66687820	483
54	66687825	473
37	66687805	489
27	66687793	515
45	66687814	486
21	66687785	512
17	66687780	542
40	66687808	490
64	66687837	461
75	66687849	440
26	66687792	528
69	66687843	467
38	66687806	504
53	66687823	494
35	66687802	499
46	66687815	506
34	66687801	512
15	66687778	577
36	66687804	514
51	66687821	510
63	66687835	496
41	66687809	538
65	66687839	502
66	66687840	510
68	66687842	506
67	66687841	514
52	66687822	540
97	66687872	387
58	66687829	556
73	66687847	495
95	66687870	455
24	66687789	596
78	66687852	515
2	66687763	669
85	66687860	467
94	66687869	465
59	66687830	575
76	66687850	528
71	66687845	558
57	66687828	581
47	66687816	586
82	66687856	501
87	66687862	499
96	66687871	472
43	66687812	594
81	66687855	502
86	66687861	540
77	66687851	550
84	66687859	514
70	66687844	586
93	66687868	496
89	66687864	505
79	66687853	565
74	66687848	577
92	66687867	519
91	66687866	513
88	66687863	532
56	66687827	635
42	66687810	638
90	66687865	540
83	66687858	570
48	66687817	649
98	66687873	504
99	66687874	505
72	66687846	625
