Index	JobID	FLSIMU Runtime sec
1	66687762	51
4	66687765	53
32	66687799	35
6	66687767	55
20	66687784	51
25	66687791	51
30	66687796	59
18	66687781	55
7	66687768	74
49	66687819	54
9	66687771	78
19	66687783	75
8	66687769	78
10	66687772	75
0	66687761	78
12	66687775	74
60	66687832	50
3	66687764	70
16	66687779	75
44	66687813	61
61	66687833	59
11	66687773	88
31	66687798	63
23	66687787	78
28	66687794	72
29	66687795	63
62	66687834	59
14	66687777	83
13	66687776	83
5	66687766	77
55	66687826	66
22	66687786	78
33	66687800	77
80	66687854	69
39	66687807	70
50	66687820	72
54	66687825	82
37	66687805	70
27	66687793	78
45	66687814	72
21	66687785	83
17	66687780	89
40	66687808	77
64	66687837	76
75	66687849	73
26	66687792	77
69	66687843	74
38	66687806	70
53	66687823	81
35	66687802	76
46	66687815	69
34	66687801	71
15	66687778	110
36	66687804	76
51	66687821	91
63	66687835	77
41	66687809	76
65	66687839	82
66	66687840	75
68	66687842	84
67	66687841	81
52	66687822	86
97	66687872	76
58	66687829	78
73	66687847	80
95	66687870	51
24	66687789	82
78	66687852	73
2	66687763	97
85	66687860	82
94	66687869	58
59	66687830	80
76	66687850	79
71	66687845	82
57	66687828	90
47	66687816	88
82	66687856	78
87	66687862	80
96	66687871	77
43	66687812	84
81	66687855	85
86	66687861	53
77	66687851	84
84	66687859	81
70	66687844	80
93	66687868	84
89	66687864	78
79	66687853	82
74	66687848	78
92	66687867	76
91	66687866	86
88	66687863	88
56	66687827	89
42	66687810	87
90	66687865	78
83	66687858	73
48	66687817	92
98	66687873	87
99	66687874	87
72	66687846	87
