Index	JobID	Memory_MB
0	66687761	304.24
1	66687762	267.63
2	66687763	284.28
3	66687764	267.71
4	66687765	293.10
5	66687766	234.86
6	66687767	268.05
7	66687768	321.07
8	66687769	256.30
10	66687771	278.91
11	66687772	239.66
12	66687773	265.02
14	66687775	280.58
15	66687776	248.79
16	66687777	255.30
17	66687778	370.61
18	66687779	433.89
19	66687780	279.79
20	66687781	327.00
22	66687783	314.42
23	66687784	299.50
24	66687785	282.95
25	66687786	264.85
26	66687787	422.74
28	66687789	326.34
30	66687791	280.90
31	66687792	286.25
32	66687793	245.83
33	66687794	293.19
34	66687795	234.18
35	66687796	237.57
37	66687798	251.24
38	66687799	269.56
39	66687800	321.39
40	66687801	233.13
41	66687802	263.55
43	66687804	249.19
44	66687805	432.12
45	66687806	230.00
46	66687807	226.32
47	66687808	317.08
48	66687809	351.09
49	66687810	326.61
51	66687812	422.86
52	66687813	275.61
53	66687814	243.95
54	66687815	305.28
55	66687816	319.48
56	66687817	245.78
58	66687819	317.43
59	66687820	282.18
60	66687821	318.00
61	66687822	343.29
62	66687823	331.62
64	66687825	446.06
65	66687826	256.89
66	66687827	327.95
67	66687828	276.68
68	66687829	288.84
69	66687830	236.69
71	66687832	250.67
72	66687833	250.19
73	66687834	296.28
74	66687835	268.11
76	66687837	262.52
78	66687839	263.47
79	66687840	279.61
80	66687841	326.93
81	66687842	384.28
82	66687843	322.25
83	66687844	294.05
84	66687845	434.73
85	66687846	439.45
86	66687847	316.39
87	66687848	324.27
88	66687849	320.90
89	66687850	310.03
90	66687851	291.43
91	66687852	272.29
92	66687853	264.72
93	66687854	427.12
94	66687855	446.96
95	66687856	242.48
97	66687858	266.64
98	66687859	269.50
99	66687860	429.88
100	66687861	250.84
101	66687862	425.66
102	66687863	283.78
103	66687864	282.90
104	66687865	284.21
105	66687866	326.06
106	66687867	285.96
107	66687868	283.54
108	66687869	281.18
109	66687870	251.54
110	66687871	288.68
111	66687872	288.02
112	66687873	324.72
113	66687874	322.78
