Index	JobID	Runtime sec
13	66222091	380
53	66222143	341
7	66222084	469
58	66222150	356
14	66222093	544
32	66222116	477
15	66222094	554
11	66222089	552
44	66222132	468
17	66222096	529
30	66222113	482
57	66222149	419
22	66222103	534
43	66222130	472
29	66222112	490
12	66222090	571
9	66222086	578
37	66222123	506
3	66222078	584
20	66222100	554
66	66222160	436
2	66222077	582
18	66222098	561
23	66222104	563
46	66222134	487
51	66222141	488
73	66222173	420
41	66222128	512
28	66222111	528
40	66222126	513
1	66222075	598
76	66222177	424
0	66222073	634
60	66222152	463
8	66222085	613
6	66222082	622
26	66222108	552
19	66222099	600
16	66222095	601
33	66222117	553
4	66222080	627
27	66222109	560
42	66222129	552
61	66222154	501
81	66222183	435
74	66222174	469
82	66222185	438
55	66222146	514
69	66222165	479
39	66222125	568
24	66222105	637
48	66222137	559
64	66222158	520
38	66222124	607
47	66222135	571
65	66222159	532
5	66222081	689
31	66222115	614
45	66222133	583
21	66222101	666
25	66222107	671
96	66222203	440
63	66222156	558
35	66222120	638
36	66222121	639
59	66222151	576
50	66222139	612
52	66222142	621
10	66222087	725
56	66222147	597
71	66222169	563
62	66222155	602
77	66222178	567
94	66222200	481
79	66222181	541
34	66222119	673
68	66222163	566
67	66222162	576
72	66222170	563
90	66222195	504
78	66222180	557
86	66222190	519
91	66222196	523
80	66222182	565
70	66222167	596
84	66222187	563
83	66222186	576
88	66222192	549
92	66222198	555
54	66222145	672
85	66222189	572
95	66222202	558
49	66222138	752
87	66222191	626
97	66222204	622
75	66222175	717
93	66222199	647
89	66222194	648
99	66222207	662
98	66222206	718
