Index	JobID	FLSIMU Runtime sec
18	66688666	883
46	66688695	1257
59	66688710	938
97	66688766	1398
12	66688657	984
63	66688715	971
69	66688723	1037
11	66688656	1393
66	66688719	1404
51	66688701	1383
13	66688659	1164
39	66688687	1288
5	66688650	1347
58	66688709	1396
16	66688664	1384
55	66688706	1700
98	66688767	1409
64	66688716	1048
68	66688722	1446
45	66688694	1768
38	66688686	1529
0	66688644	1497
87	66688752	1261
50	66688700	1804
53	66688704	1839
83	66688747	1766
48	66688697	1846
52	66688702	1401
79	66688743	1696
96	66688765	1383
36	66688684	2101
37	66688685	1809
57	66688708	1853
75	66688738	1818
2	66688646	2071
33	66688681	1862
43	66688692	1855
85	66688750	2283
41	66688689	1818
32	66688680	1851
49	66688698	1796
56	66688707	1895
30	66688678	1698
61	66688712	1411
31	66688679	1872
1	66688645	1834
95	66688764	1450
82	66688746	1866
94	66688763	1766
35	66688683	2102
71	66688725	2149
86	66688751	1864
47	66688696	1879
42	66688691	2200
14	66688662	1426
93	66688761	2051
67	66688721	1563
74	66688733	1769
17	66688665	1567
62	66688714	1535
20	66688668	1755
3	66688648	1397
70	66688724	1924
54	66688705	1945
7	66688652	1835
80	66688744	1812
77	66688740	1414
90	66688757	1999
26	66688674	2371
81	66688745	1858
9	66688654	1952
72	66688727	1104
22	66688670	1952
29	66688677	1706
40	66688688	1761
8	66688653	1815
92	66688760	1863
84	66688749	1822
21	66688669	1936
19	66688667	2097
44	66688693	1870
34	66688682	2063
10	66688655	2038
27	66688675	2040
25	66688673	1929
91	66688758	1873
76	66688739	1923
28	66688676	1980
88	66688754	1926
6	66688651	1793
78	66688742	1862
24	66688672	1925
73	66688730	1978
89	66688756	1929
99	66688768	1851
15	66688663	1543
60	66688711	1774
23	66688671	2038
65	66688717	1741
4	66688649	1637
