Index	JobID	Memory MB
54	66314852	1.19
52	66314849	1.23
50	66314847	1.23
26	66314819	1.23
53	66314850	1.25
73	66314876	1.28
49	66314846	1.24
85	66314889	1.36
18	66314810	1.19
1	66314791	1.26
95	66314900	1.23
17	66314809	1.33
39	66314835	1.34
40	66314836	1.34
67	66314869	1.34
30	66314823	1.33
14	66314806	1.27
90	66314894	1.33
98	66314903	1.33
96	66314901	1.35
59	66314860	1.22
80	66314884	1.33
74	66314877	1.33
29	66314822	1.31
77	66314880	1.18
78	66314881	1.34
16	66314808	1.35
33	66314827	1.30
31	66314825	1.36
86	66314890	1.35
41	66314837	1.30
15	66314807	1.32
34	66314828	1.24
93	66314898	1.29
79	66314882	1.35
25	66314818	1.34
82	66314886	1.32
97	66314902	1.35
35	66314830	1.23
99	66314904	1.33
72	66314875	1.34
0	66314790	1.34
75	66314878	1.33
21	66314814	1.17
28	66314821	1.30
81	66314885	1.34
44	66314840	1.24
32	66314826	1.25
94	66314899	1.33
51	66314848	1.23
88	66314892	1.22
24	66314817	1.17
37	66314833	1.31
55	66314853	1.33
92	66314897	1.24
43	66314839	1.24
89	66314893	1.32
83	66314887	1.33
69	66314871	1.31
2	66314792	1.31
38	66314834	1.09
11	66314803	1.20
68	66314870	1.34
6	66314796	1.34
42	66314838	1.28
91	66314896	1.35
70	66314873	1.35
13	66314805	1.31
66	66314868	1.30
12	66314804	1.27
64	66314866	1.23
84	66314888	1.33
7	66314797	1.21
19	66314812	1.22
27	66314820	1.32
65	66314867	1.19
22	66314815	1.34
60	66314862	1.24
3	66314793	1.35
76	66314879	1.34
87	66314891	1.33
23	66314816	1.32
71	66314874	1.31
5	66314795	1.17
47	66314843	1.25
46	66314842	1.15
58	66314858	1.26
57	66314856	1.36
36	66314831	1.32
9	66314801	1.29
8	66314800	1.19
20	66314813	1.32
4	66314794	1.11
62	66314864	1.35
56	66314854	1.34
63	66314865	1.21
48	66314845	1.17
45	66314841	1.19
10	66314802	1.32
61	66314863	1.24
