Index	JobID	Runtime sec
11	66689526	6906
78	66689609	7097
7	66689521	7586
13	66689528	8020
64	66689591	8079
4	66689518	8769
5	66689519	8864
65	66689594	8845
79	66689610	9101
8	66689522	9311
39	66689562	9510
12	66689527	9613
93	66689626	9634
33	66689555	9803
58	66689584	9864
6	66689520	10160
20	66689537	10162
57	66689583	10150
84	66689616	10056
89	66689622	10124
23	66689540	10341
3	66689516	10436
35	66689557	10421
60	66689587	10546
90	66689623	10606
34	66689556	10717
48	66689573	10860
59	66689586	10873
21	66689538	10965
28	66689548	10964
46	66689570	11098
55	66689581	11123
76	66689606	11067
95	66689629	11029
32	66689554	11195
63	66689590	11263
36	66689559	11265
67	66689596	11205
14	66689529	11321
26	66689543	11290
96	66689630	11288
74	66689604	11357
16	66689532	11492
25	66689542	11496
77	66689608	11460
88	66689620	11451
1	66689514	11698
73	66689603	11603
56	66689582	11743
91	66689624	11697
54	66689580	11802
83	66689615	11703
17	66689533	11835
69	66689598	11782
53	66689579	11876
68	66689597	11828
61	66689588	11946
18	66689534	12045
27	66689547	12048
37	66689560	12051
72	66689602	11974
75	66689605	12033
94	66689627	11993
0	66689513	12162
80	66689611	12068
41	66689565	12187
52	66689577	12208
97	66689631	12117
10	66689525	12354
81	66689612	12222
51	66689576	12400
44	66689568	12404
40	66689563	12412
15	66689531	12481
29	66689549	12450
19	66689535	12529
99	66689633	12475
82	66689613	12826
87	66689619	12938
42	66689566	13163
66	66689595	13097
85	66689617	13288
22	66689539	13633
98	66689632	13567
43	66689567	13742
31	66689553	13800
71	66689601	13717
86	66689618	13881
45	66689569	14078
50	66689575	14099
47	66689572	14124
70	66689599	14243
30	66689551	14747
49	66689574	15109
92	66689625	15365
2	66689515	12463
9	66689524	12927
38	66689561	13397
62	66689589	13448
24	66689541	15781
