Index	JobID	Memory MB
5	66314213	370.24
84	66314318	353.49
58	66314285	249.76
25	66314236	358.27
86	66314320	354.46
31	66314242	251.63
89	66314323	261.75
97	66314332	350.71
78	66314311	371.49
59	66314286	257.98
51	66314278	251.73
28	66314239	246.60
38	66314250	244.62
0	66314208	241.79
21	66314231	351.15
29	66314240	353.83
68	66314296	348.80
96	66314331	354.82
30	66314241	352.22
20	66314230	357.17
6	66314214	241.58
26	66314237	243.43
87	66314321	351.72
76	66314306	350.42
32	66314244	345.42
35	66314247	244.72
73	66314302	264.80
99	66314334	352.01
72	66314301	348.16
66	66314294	242.15
27	66314238	245.58
55	66314282	348.14
33	66314245	360.53
80	66314313	347.17
8	66314216	358.96
92	66314326	377.56
50	66314277	350.14
70	66314298	366.89
77	66314310	370.54
39	66314251	359.68
94	66314329	349.63
74	66314303	244.41
75	66314304	361.97
41	66314253	350.84
91	66314325	351.60
16	66314225	259.86
1	66314209	342.90
90	66314324	348.18
83	66314317	352.17
81	66314314	358.12
10	66314219	356.91
82	66314315	355.35
79	66314312	248.17
18	66314227	248.32
45	66314259	246.81
9	66314218	377.67
4	66314212	358.08
3	66314211	259.07
48	66314273	351.36
12	66314221	361.05
95	66314330	351.78
7	66314215	354.51
71	66314299	362.63
88	66314322	353.44
11	66314220	373.56
85	66314319	370.67
53	66314280	250.12
98	66314333	347.07
37	66314249	352.38
67	66314295	366.69
36	66314248	361.34
22	66314232	354.89
64	66314292	358.83
34	66314246	374.94
19	66314228	258.24
14	66314223	354.97
17	66314226	252.44
56	66314283	249.50
13	66314222	355.46
46	66314260	250.60
52	66314279	356.41
62	66314290	260.04
44	66314258	352.52
93	66314327	359.79
60	66314287	245.99
40	66314252	353.51
43	66314257	381.02
15	66314224	358.32
24	66314234	348.11
61	66314289	352.36
23	66314233	469.97
42	66314255	351.54
63	66314291	348.55
54	66314281	245.21
69	66314297	358.42
49	66314274	246.07
57	66314284	389.42
47	66314271	359.68
2	66314210	352.47
