Index	JobID	Runtime sec
5	66314213	110
84	66314318	107
58	66314285	117
25	66314236	141
86	66314320	123
31	66314242	145
89	66314323	126
97	66314332	127
78	66314311	136
59	66314286	135
51	66314278	139
28	66314239	158
38	66314250	162
0	66314208	162
21	66314231	163
29	66314240	164
68	66314296	149
96	66314331	149
30	66314241	170
20	66314230	169
6	66314214	167
26	66314237	170
87	66314321	151
76	66314306	151
32	66314244	171
35	66314247	170
73	66314302	151
99	66314334	152
72	66314301	153
66	66314294	154
27	66314238	174
55	66314282	155
33	66314245	175
80	66314313	155
8	66314216	175
92	66314326	154
50	66314277	156
70	66314298	156
77	66314310	156
39	66314251	176
94	66314329	156
74	66314303	156
75	66314304	156
41	66314253	176
91	66314325	157
16	66314225	174
1	66314209	176
90	66314324	157
83	66314317	157
81	66314314	158
10	66314219	177
82	66314315	158
79	66314312	159
18	66314227	179
45	66314259	178
9	66314218	180
4	66314212	180
3	66314211	180
48	66314273	159
12	66314221	178
95	66314330	161
7	66314215	181
71	66314299	161
88	66314322	161
11	66314220	182
85	66314319	162
53	66314280	161
98	66314333	161
37	66314249	183
67	66314295	163
36	66314248	183
22	66314232	183
64	66314292	162
34	66314246	183
19	66314228	183
14	66314223	183
17	66314226	183
56	66314283	164
13	66314222	185
46	66314260	182
52	66314279	166
62	66314290	165
44	66314258	186
93	66314327	168
60	66314287	168
40	66314252	189
43	66314257	190
15	66314224	191
24	66314234	192
61	66314289	171
23	66314233	192
42	66314255	190
63	66314291	172
54	66314281	175
69	66314297	175
49	66314274	176
57	66314284	184
47	66314271	183
2	66314210	225
