Index	JobID	FLRECO Runtime sec
83	66693380	10343
17	66693309	11464
48	66693344	11092
79	66693376	12315
61	66693358	11892
82	66693379	12540
77	66693374	12365
56	66693352	12636
14	66693305	12930
36	66693332	12568
1	66693290	12619
43	66693339	13312
58	66693354	13249
2	66693291	12717
54	66693350	13212
71	66693368	13391
29	66693324	13442
30	66693326	13685
21	66693314	13641
99	66693396	14556
46	66693342	13619
5	66693295	13841
59	66693355	13874
87	66693384	13952
72	66693369	14451
20	66693312	14254
18	66693310	14138
40	66693336	14476
38	66693334	14481
39	66693335	14670
80	66693377	14520
7	66693297	14517
53	66693349	14325
8	66693298	14577
24	66693319	14253
3	66693292	14377
63	66693360	14375
94	66693391	14870
32	66693328	14376
49	66693345	14561
23	66693317	14632
37	66693333	14577
9	66693299	14579
60	66693357	14493
28	66693323	14712
22	66693315	15030
6	66693296	15009
27	66693322	15195
69	66693366	15962
4	66693293	15253
15	66693306	16035
0	66693289	15267
62	66693359	15329
73	66693370	15319
50	66693346	15447
75	66693372	15561
34	66693330	15457
10	66693300	15546
55	66693351	15602
35	66693331	15247
33	66693329	15453
26	66693321	15836
95	66693392	15691
66	66693363	16414
11	66693302	15957
52	66693348	16075
70	66693367	16296
45	66693341	16125
65	66693362	16266
78	66693375	16832
44	66693340	16284
19	66693311	16328
51	66693347	15825
57	66693353	16087
85	66693382	17014
86	66693383	17043
96	66693393	16913
81	66693378	13203
90	66693387	17237
93	66693390	16829
13	66693304	17121
88	66693385	17110
41	66693337	14262
97	66693394	17487
25	66693320	17411
12	66693303	17561
16	66693308	17918
92	66693389	17513
42	66693338	17915
64	66693361	18437
89	66693386	18334
91	66693388	14996
98	66693395	18855
74	66693371	18397
31	66693327	18824
68	66693365	18739
84	66693381	19583
76	66693373	19924
67	66693364	18749
47	66693343	24012
