Index	JobID	Memory_MB
0	66693289	1689.6
1	66693290	1658.88
2	66693291	1832.96
3	66693292	1679.36
4	66693293	1771.52
6	66693295	1669.12
7	66693296	1863.68
8	66693297	1730.56
9	66693298	1863.68
10	66693299	1689.6
11	66693300	1638.4
13	66693302	1669.12
14	66693303	1597.44
15	66693304	1740.8
16	66693305	1679.36
17	66693306	1628.16
19	66693308	1658.88
20	66693309	1464.32
21	66693310	1658.88
22	66693311	1689.6
23	66693312	1648.64
25	66693314	1730.56
26	66693315	1658.88
28	66693317	1679.36
30	66693319	1761.28
31	66693320	1843.2
32	66693321	1720.32
33	66693322	1669.12
34	66693323	1648.64
35	66693324	1689.6
37	66693326	1771.52
38	66693327	1710.08
39	66693328	1679.36
40	66693329	1720.32
41	66693330	1720.32
42	66693331	1873.92
43	66693332	1658.88
44	66693333	1699.84
45	66693334	1617.92
46	66693335	1617.92
47	66693336	1648.64
48	66693337	1648.64
49	66693338	1689.6
50	66693339	1617.92
51	66693340	1720.32
52	66693341	1617.92
53	66693342	1761.28
54	66693343	1648.64
55	66693344	1556.48
56	66693345	1761.28
57	66693346	1689.6
58	66693347	1720.32
59	66693348	1853.44
60	66693349	1843.2
61	66693350	1802.24
62	66693351	1710.08
63	66693352	1638.4
64	66693353	1720.32
65	66693354	1761.28
66	66693355	1658.88
68	66693357	1648.64
69	66693358	1710.08
70	66693359	1689.6
71	66693360	1679.36
72	66693361	1720.32
73	66693362	1699.84
74	66693363	1638.4
75	66693364	1638.4
76	66693365	1648.64
77	66693366	1648.64
78	66693367	1689.6
79	66693368	1679.36
80	66693369	1669.12
81	66693370	1638.4
82	66693371	1689.6
83	66693372	1648.64
84	66693373	1638.4
85	66693374	1648.64
86	66693375	1669.12
87	66693376	1576.96
88	66693377	1617.92
89	66693378	1679.36
90	66693379	1638.4
91	66693380	1587.2
92	66693381	1638.4
93	66693382	1628.16
94	66693383	1566.72
95	66693384	1771.52
96	66693385	1669.12
97	66693386	1730.56
98	66693387	1617.92
99	66693388	1730.56
100	66693389	1679.36
101	66693390	1669.12
102	66693391	1699.84
103	66693392	1617.92
104	66693393	1638.4
105	66693394	1699.84
106	66693395	1669.12
107	66693396	1546.24
